"","id","animal","time","y","family","trait","measure","CapAgeYears","Twin","Sex","PopDensMC","jdateMC","MumAgeMC","BirthYear","MumID"
"1",14088,14088,0,1,"threshold","s","S1",0,0,2,-287.145603504218,0,-3.69617732943987,1986,2818
"2",4317,4317,0,1,"threshold","s","S1",0,0,1,-287.145603504218,0,-3.69617732943987,1986,14247
"3",9731,9731,0,1,"threshold","s","S1",0,0,1,-167.145603504218,0,-3.69617732943987,1987,6548
"4",3483,3483,0,1,"threshold","s","S1",0,0,1,-167.145603504218,0,-2.69617732943987,1987,2818
"5",10920,10920,0,1,"threshold","s","S1",0,0,2,-167.145603504218,0,-3.69617732943987,1987,6967
"6",6999,6999,0,1,"threshold","s","S1",0,0,2,-167.145603504218,0,-2.69617732943987,1987,13190
"7",14298,14298,0,1,"threshold","s","S1",0,0,2,-167.145603504218,0,-3.69617732943987,1987,3007
"8",2019,2019,0,1,"threshold","s","S1",0,0,1,-167.145603504218,0,-3.69617732943987,1987,10877
"9",3641,3641,0,1,"threshold","s","S1",0,0,2,-167.145603504218,0,-3.69617732943987,1987,8348
"10",2528,2528,0,1,"threshold","s","S1",0,0,1,-167.145603504218,0,-3.69617732943987,1987,771
"11",6570,6570,0,1,"threshold","s","S1",0,0,1,-167.145603504218,0,-3.69617732943987,1987,4954
"12",7267,7267,0,1,"threshold","s","S1",0,0,2,-287.145603504218,0,-1.69617732943987,1989,2564
"13",10095,10095,0,1,"threshold","s","S1",0,0,2,-287.145603504218,0,-0.696177329439872,1989,14247
"14",12643,12643,0,1,"threshold","s","S1",0,0,1,-287.145603504218,0,-1.69617732943987,1989,3324
"15",850,850,0,1,"threshold","s","S1",0,0,1,-287.145603504218,0,-2.69617732943987,1989,8052
"16",7839,7839,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-3.69617732943987,1990,12918
"17",11012,11012,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-2.69617732943987,1990,13708
"18",13997,13997,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-3.69617732943987,1990,8958
"19",8195,8195,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-3.69617732943987,1990,4974
"20",10556,10556,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-1.69617732943987,1990,10049
"21",5344,5344,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-3.69617732943987,1990,207
"22",6737,6737,0,1,"threshold","s","S1",0,1,1,-208.145603504218,0,0.303822670560128,1990,14247
"23",1971,1971,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-3.69617732943987,1990,850
"24",5401,5401,0,1,"threshold","s","S1",0,1,1,-208.145603504218,0,0.303822670560128,1990,13190
"25",9546,9546,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-1.69617732943987,1990,5780
"26",2182,2182,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-3.69617732943987,1990,13506
"27",13304,13304,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-0.696177329439872,1990,835
"28",4000,4000,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-1.69617732943987,1990,12282
"29",471,471,0,1,"threshold","s","S1",0,1,1,-208.145603504218,0,-1.69617732943987,1990,8950
"30",6885,6885,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-1.69617732943987,1990,8328
"31",12134,12134,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-1.69617732943987,1990,1996
"32",9270,9270,0,1,"threshold","s","S1",0,1,1,-208.145603504218,0,-1.69617732943987,1990,3245
"33",968,968,0,1,"threshold","s","S1",0,1,1,-208.145603504218,0,-1.69617732943987,1990,3245
"34",6712,6712,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-2.69617732943987,1990,2132
"35",2208,2208,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-3.69617732943987,1990,12643
"36",11436,11436,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-2.69617732943987,1990,943
"37",8341,8341,0,1,"threshold","s","S1",0,1,2,-208.145603504218,0,-1.69617732943987,1990,8950
"38",5709,5709,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-0.696177329439872,1990,8323
"39",7678,7678,0,1,"threshold","s","S1",0,0,1,-287.145603504218,0,-2.69617732943987,1989,13105
"40",7638,7638,0,1,"threshold","s","S1",0,1,1,-208.145603504218,0,-0.696177329439872,1990,5625
"41",13000,13000,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-2.69617732943987,1990,9874
"42",13995,13995,0,1,"threshold","s","S1",0,1,2,-208.145603504218,0,-0.696177329439872,1990,5625
"43",4130,4130,0,1,"threshold","s","S1",0,0,2,-287.145603504218,0,-1.69617732943987,1989,2774
"44",1475,1475,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-1.69617732943987,1990,8052
"45",4870,4870,0,1,"threshold","s","S1",0,1,2,-208.145603504218,0,0.303822670560128,1990,13190
"46",10396,10396,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-0.696177329439872,1990,13858
"47",4489,4489,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-2.69617732943987,1990,12719
"48",8067,8067,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-1.69617732943987,1990,4932
"49",3678,3678,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-3.69617732943987,1990,11699
"50",8728,8728,0,1,"threshold","s","S1",0,0,2,-208.145603504218,0,-2.69617732943987,1990,3668
"51",6925,6925,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-0.696177329439872,1990,3324
"52",1354,1354,0,1,"threshold","s","S1",0,0,1,-208.145603504218,0,-3.69617732943987,1990,4072
"53",14124,14124,0,1,"threshold","s","S1",0,0,2,-84.1456035042181,0,-0.696177329439872,1991,1996
"54",10858,10858,0,1,"threshold","s","S1",0,1,1,-84.1456035042181,0,1.30382267056013,1991,13826
