"","id","animal","time","y","Twin","Sex","Horn","BirthYear","PopDensBirth","MumID","jdate","PopDensCap","CapAgeYears","horngeno","trait","measure","family","MumAge","PopDens","AgeMC","jdateMC","MumAgeMC","PopDensMC"
"1",9898,9898,0,1,0,2,3,1986,211,1583,0,NA,0,NA,"s","S1","threshold",1,211,0,0,-3.69617732943987,-285.782900943396
"5",7188,7188,0,1,0,2,3,1987,331,1632,0,NA,0,NA,"s","S1","threshold",1,331,0,0,-3.69617732943987,-165.782900943396
"6",3794,3794,0,1,0,2,1,1987,331,1554,0,NA,0,NA,"s","S1","threshold",2,331,0,0,-2.69617732943987,-165.782900943396
"7",5681,5681,0,1,0,2,3,1987,331,1605,0,NA,0,NA,"s","S1","threshold",1,331,0,0,-3.69617732943987,-165.782900943396
"9",2995,2995,0,1,0,2,3,1987,331,1610,0,NA,0,NA,"s","S1","threshold",1,331,0,0,-3.69617732943987,-165.782900943396
"12",12884,12884,0,1,0,2,3,1989,211,1661,0,NA,0,NA,"s","S1","threshold",3,211,0,0,-1.69617732943987,-285.782900943396
"13",9581,9581,0,1,0,2,3,1989,211,1586,0,NA,0,NA,"s","S1","threshold",4,211,0,0,-0.696177329439872,-285.782900943396
"16",5620,5620,0,1,0,2,1,1990,290,2178,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-206.782900943396
"19",4402,4402,0,1,0,2,3,1990,290,2175,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-206.782900943396
"21",13557,13557,0,1,0,2,3,1990,290,2171,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-206.782900943396
"25",4811,4811,0,1,0,2,1,1990,290,1821,0,NA,0,NA,"s","S1","threshold",3,290,0,0,-1.69617732943987,-206.782900943396
"34",11251,11251,0,1,0,2,3,1990,290,2064,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-206.782900943396
"35",4434,4434,0,1,0,2,3,1990,290,2177,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-206.782900943396
"36",13401,13401,0,1,0,2,3,1990,290,2053,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-206.782900943396
"37",6534,6534,0,1,1,2,3,1990,290,1877,0,NA,0,NA,"s","S1","threshold",3,290,0,0,-1.69617732943987,-206.782900943396
"41",6884,6884,0,1,0,2,3,1990,290,1981,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-206.782900943396
"42",7807,7807,0,1,1,2,3,1990,290,1664,0,NA,0,NA,"s","S1","threshold",4,290,0,0,-0.696177329439872,-206.782900943396
"43",11245,11245,0,1,0,2,3,1989,211,1665,0,NA,0,NA,"s","S1","threshold",3,211,0,0,-1.69617732943987,-285.782900943396
"45",10504,10504,0,1,1,2,3,1990,290,1554,0,NA,0,NA,"s","S1","threshold",5,290,0,0,0.303822670560128,-206.782900943396
"46",951,951,0,1,0,2,3,1990,290,1633,0,NA,0,NA,"s","S1","threshold",4,290,0,0,-0.696177329439872,-206.782900943396
"47",12384,12384,0,1,0,2,3,1990,290,2071,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-206.782900943396
"48",13379,13379,0,1,0,2,1,1990,290,1769,0,NA,0,NA,"s","S1","threshold",3,290,0,0,-1.69617732943987,-206.782900943396
"50",8913,8913,0,1,0,2,3,1990,290,2069,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-206.782900943396
"53",5811,5811,0,1,0,2,1,1991,414,1741,0,NA,0,NA,"s","S1","threshold",4,414,0,0,-0.696177329439872,-82.7829009433962
"56",6046,6046,0,1,0,2,3,1991,414,2066,0,NA,0,NA,"s","S1","threshold",3,414,0,0,-1.69617732943987,-82.7829009433962
"57",8297,8297,0,1,1,2,3,1991,414,1552,0,NA,0,NA,"s","S1","threshold",6,414,0,0,1.30382267056013,-82.7829009433962
"58",4414,4414,0,1,0,2,3,1990,290,2143,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-206.782900943396
"61",12835,12835,0,1,0,2,3,1991,414,2064,0,NA,0,NA,"s","S1","threshold",3,414,0,0,-1.69617732943987,-82.7829009433962
"62",6668,6668,0,1,0,2,3,1991,414,1885,0,NA,0,NA,"s","S1","threshold",4,414,0,0,-0.696177329439872,-82.7829009433962
"63",10630,10630,0,1,0,2,3,1991,414,2167,0,NA,0,NA,"s","S1","threshold",2,414,0,0,-2.69617732943987,-82.7829009433962
"64",6707,6707,0,1,1,2,3,1991,414,1820,0,NA,0,NA,"s","S1","threshold",4,414,0,0,-0.696177329439872,-82.7829009433962
"65",8184,8184,0,1,0,2,3,1991,414,1663,0,NA,0,NA,"s","S1","threshold",5,414,0,0,0.303822670560128,-82.7829009433962
"70",7482,7482,0,1,0,2,1,1992,321,2178,0,NA,0,NA,"s","S1","threshold",3,321,0,0,-1.69617732943987,-175.782900943396
"75",6373,6373,0,1,0,2,3,1992,321,1981,0,NA,0,NA,"s","S1","threshold",4,321,0,0,-0.696177329439872,-175.782900943396
"76",2186,2186,0,1,1,2,3,1992,321,2073,0,NA,0,NA,"s","S1","threshold",4,321,0,0,-0.696177329439872,-175.782900943396
"77",12674,12674,0,1,0,2,3,1992,321,1554,0,NA,0,NA,"s","S1","threshold",7,321,0,0,2.30382267056013,-175.782900943396
"80",13620,13620,0,1,0,2,3,1992,321,2292,0,NA,0,NA,"s","S1","threshold",2,321,0,0,-2.69617732943987,-175.782900943396
"82",12502,12502,0,1,0,2,3,1992,321,2369,0,NA,0,NA,"s","S1","threshold",2,321,0,0,-2.69617732943987,-175.782900943396
"83",1349,1349,0,1,0,2,3,1992,321,2260,0,NA,0,NA,"s","S1","threshold",2,321,0,0,-2.69617732943987,-175.782900943396
"89",13438,13438,0,1,0,2,3,1992,321,2349,0,NA,0,NA,"s","S1","threshold",2,321,0,0,-2.69617732943987,-175.782900943396
