"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"360",8348,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"361",6967,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"381",5625,15,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"382",4564,7,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"383",8323,8,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"415",6548,1,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"416",4164,0,1986,"s","LBS","poisson",0,2,1,0,-218.064822134387
"417",4017,1,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"418",14088,3,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"419",3332,4,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"420",12579,2,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"421",7470,1,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"422",10877,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"423",7943,0,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"424",1318,0,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"425",4317,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"450",4954,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"451",9599,0,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"463",13190,8,1985,"s","LBS","poisson",0,1,0,0,79.9351778656127
"470",8410,6,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"471",11505,0,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"480",771,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"485",835,13,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"503",12736,12,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"504",6175,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"505",9581,0,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"506",13929,0,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"517",11784,1,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"526",12613,0,1986,"s","LBS","poisson",0,2,0,0,-218.064822134387
"538",3324,10,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"623",9731,1,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"625",3245,12,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"633",3007,2,1986,"s","LBS","poisson",0,1,0,0,-218.064822134387
"637",4782,0,1987,"s","LBS","poisson",0,2,0,0,-98.0648221343873
"646",3483,3,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"647",9166,9,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"648",6841,2,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"649",9847,1,1987,"s","LBS","poisson",0,1,1,0,-98.0648221343873
"664",10920,0,1987,"s","LBS","poisson",0,2,0,0,-98.0648221343873
