"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"623",9731,1,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"625",3245,12,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"633",3007,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"636",6967,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"637",4782,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"643",5625,15,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"644",8323,8,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"646",3483,3,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"647",9166,9,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"648",6841,2,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"649",9847,1,1987,"s","LBS","poisson",0,1,1,0,-99.4436507936508
"658",4164,0,1986,"s","LBS","poisson",0,2,1,0,-219.443650793651
"659",4017,1,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"660",14088,3,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"661",3332,4,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"663",7470,1,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"664",10920,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"665",10427,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"666",4514,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"667",9404,1,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"668",1492,0,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"669",2955,1,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"670",1641,19,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"671",10476,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"672",11996,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"673",10379,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"681",2168,1,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"684",11505,0,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"685",5617,1,1987,"s","LBS","poisson",0,1,1,0,-99.4436507936508
"689",13190,8,1985,"s","LBS","poisson",0,1,0,0,78.5563492063492
"692",8410,6,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"693",12322,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"694",6999,1,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"695",6619,0,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"696",7187,0,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"710",8348,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"714",9806,11,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"723",13300,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"724",4317,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"725",3466,1,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"726",3199,1,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"727",8328,12,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"728",14298,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"729",4356,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"740",4954,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"741",2019,0,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"742",3065,1,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"743",3641,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"749",9384,1,1987,"s","LBS","poisson",0,1,1,0,-99.4436507936508
"760",2768,1,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"761",12313,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"762",12241,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"763",3999,0,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"764",6994,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"765",771,2,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"766",2528,4,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"767",12579,2,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"768",7943,0,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"769",6893,1,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"770",7071,0,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"771",10049,8,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"774",11784,1,1986,"s","LBS","poisson",0,2,0,0,-219.443650793651
"1013",9861,6,1987,"s","LBS","poisson",0,2,1,0,-99.4436507936508
"1019",955,13,1987,"s","LBS","poisson",0,2,0,0,-99.4436507936508
"1021",3773,2,1988,"s","LBS","poisson",0,1,1,0,26.5563492063492
"1028",4564,7,1986,"s","LBS","poisson",0,1,0,0,-219.443650793651
"1036",6061,11,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"1041",2132,8,1988,"s","LBS","poisson",0,1,0,0,26.5563492063492
"1046",8610,11,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"1096",6570,9,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
"1098",207,5,1989,"s","LBS","poisson",0,1,0,0,-219.443650793651
"1099",8958,12,1989,"s","LBS","poisson",0,1,0,0,-219.443650793651
"1100",11954,3,1989,"s","LBS","poisson",0,1,0,0,-219.443650793651
"1101",4974,3,1989,"s","LBS","poisson",0,1,0,0,-219.443650793651
"1105",1996,13,1987,"s","LBS","poisson",0,1,1,0,-99.4436507936508
"1106",12282,9,1987,"s","LBS","poisson",0,1,0,0,-99.4436507936508
