"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"416",4164,0,1986,"s","LBS","poisson",0,1,0,-200.930787589499
"418",14088,3,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"419",3332,4,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"420",12579,2,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"421",7470,1,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"423",7943,0,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"424",1318,0,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"470",8410,6,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"505",9581,0,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"517",11784,1,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"659",4017,1,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"664",10920,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"665",10427,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"666",4514,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"668",1492,0,1987,"s","LBS","poisson",0,1,0,-80.9307875894988
"669",2955,1,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"670",1641,19,1987,"s","LBS","poisson",0,1,0,-80.9307875894988
"671",10476,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"672",11996,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"673",10379,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"693",12322,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"695",6619,0,1987,"s","LBS","poisson",0,1,0,-80.9307875894988
"696",7187,0,1987,"s","LBS","poisson",0,1,0,-80.9307875894988
"701",6481,0,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"725",3466,1,1987,"s","LBS","poisson",0,1,0,-80.9307875894988
"728",14298,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"729",4356,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"743",3641,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"760",2768,1,1986,"s","LBS","poisson",0,0,0,-200.930787589499
"761",12313,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"762",12241,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"763",3999,0,1987,"s","LBS","poisson",0,1,0,-80.9307875894988
"764",6994,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"770",7071,0,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"1019",955,13,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
