"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"416",4164,0,1986,"s","LBS","poisson",0,1,0,-223.028645833333
"417",4017,1,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"418",14088,3,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"419",3332,4,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"420",12579,2,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"421",7470,1,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"423",7943,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"424",1318,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"470",8410,6,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"471",11505,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"505",9581,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"506",13929,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"517",11784,1,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"526",12613,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"637",4782,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"664",10920,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"665",10427,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"666",4514,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"668",1492,0,1987,"s","LBS","poisson",0,1,0,-103.028645833333
"669",2955,1,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"670",1641,19,1987,"s","LBS","poisson",0,1,0,-103.028645833333
"671",10476,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"672",11996,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"673",10379,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"693",12322,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"694",6999,1,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"695",6619,0,1987,"s","LBS","poisson",0,1,0,-103.028645833333
"696",7187,0,1987,"s","LBS","poisson",0,1,0,-103.028645833333
"701",6481,0,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"725",3466,1,1987,"s","LBS","poisson",0,1,0,-103.028645833333
"728",14298,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"729",4356,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"743",3641,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"760",2768,1,1986,"s","LBS","poisson",0,0,0,-223.028645833333
"761",12313,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"762",12241,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"763",3999,0,1987,"s","LBS","poisson",0,1,0,-103.028645833333
"764",6994,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"770",7071,0,1987,"s","LBS","poisson",0,0,0,-103.028645833333
"1731",5102,0,1991,"s","LBS","poisson",0,0,0,-20.0286458333333
"1733",11579,1,1991,"s","LBS","poisson",0,0,0,-20.0286458333333
"1734",6108,30,1991,"s","LBS","poisson",0,0,0,-20.0286458333333
"1787",9509,1,1991,"s","LBS","poisson",0,0,0,-20.0286458333333
"1788",1546,1,1991,"s","LBS","poisson",0,1,0,-20.0286458333333
"1789",4341,2,1991,"s","LBS","poisson",0,0,0,-20.0286458333333
"1797",12400,3,1991,"s","LBS","poisson",0,0,0,-20.0286458333333
"2338",2712,5,1992,"s","LBS","poisson",0,0,0,-113.028645833333
