"","ID","LambAugWeight","LambHindLeg","LambHornLen","LambBolCirc","Sex","PopDensBirth","MumAge","Twin","CapJDate"
"3879",1996,16,NA,NA,NA,1,331,7,1,232
"3972",8052,12.2,NA,NA,NA,1,331,7,1,231
"4545",2240,11.6,152,NA,NA,1,414,11,1,227
"4201",3773,14,162,NA,NA,1,457,6,1,236
"4590",9428,12.6,155,NA,NA,1,414,9,1,232
"4591",9551,13.2,159,NA,NA,1,414,9,1,232
"5040",11345,11.2,156,NA,NA,1,443,10,1,229
"4244",12317,10.2,144,NA,NA,1,211,6,1,227
"4305",7338,11.2,161,NA,NA,1,211,6,1,226
"4481",9744,14,166,NA,NA,1,290,7,1,226
"4586",4008,13.2,156,NA,NA,1,414,8,1,232
"4571",14186,14.7,167,NA,NA,1,414,8,1,228
"4573",379,12.8,160,NA,NA,1,414,7,1,227
"5007",11425,11.5,158,NA,NA,1,443,9,1,224
"4493",4413,13.1,159,NA,NA,1,290,6,1,226
"4500",8725,12.4,153,NA,NA,1,290,6,1,226
"5012",11417,12.7,160,NA,NA,1,443,9,1,228
"5013",9443,12.7,162,NA,NA,1,443,9,1,228
"4447",6737,14.4,165,NA,NA,1,290,5,1,228
"4395",7638,14.6,159,NA,NA,1,290,4,1,226
"4595",8526,12.8,161,NA,NA,1,414,4,1,228
"4608",7667,14.2,170,NA,NA,1,414,4,1,228
"4632",1487,13.9,166,NA,NA,1,414,4,1,230
"5214",6873,15,164,NA,NA,1,435,7,1,230
"4565",7850,13.2,160,NA,NA,1,414,4,1,228
"5001",1845,10.8,152,NA,NA,1,443,5,1,228
"4809",10864,7.4,135,NA,NA,1,321,4,1,225
"5073",6965,12.3,160,NA,NA,1,443,5,1,229
"5205",1638,9.3,140,NA,NA,1,435,6,1,230
"5385",9185,8.5,143,NA,NA,1,357,7,1,227
"5609",2067,11.9,160,NA,NA,1,575,8,1,227
"4575",6373,12.4,164,NA,NA,1,414,2,1,228
"4740",6199,10.6,145,NA,NA,1,321,3,1,227
"4811",10168,11,148,NA,NA,1,321,3,1,225
"4920",13856,12.6,152,NA,NA,1,443,4,1,227
"5241",9056,14.7,164,NA,NA,1,435,5,1,230
"5835",13224,11.5,154,NA,NA,1,542,8,1,223
"5834",4087,11.7,162,NA,NA,1,542,8,1,223
"4981",10051,11.2,150,NA,NA,1,443,4,1,224
"6369",5745,7.9,137,NA,NA,1,325,9,1,221
"5351",393,10.1,147,NA,NA,1,357,5,1,229
"5508",13439,10.9,145,NA,NA,1,575,6,1,227
"4917",12318,11.9,164,NA,NA,1,443,3,1,227
"5153",613,13.7,165,NA,NA,1,435,4,1,230
"5374",2853,9.8,148,NA,NA,1,357,5,1,232
"5377",13471,12.2,157,NA,NA,1,357,4,1,227
"5358",172,10.6,152,NA,NA,1,357,4,1,230
"5624",3360,9.4,153,NA,NA,1,575,4,1,228
"5601",10,12,157,NA,NA,1,575,4,1,227
"6514",14322,11.8,153,NA,NA,1,461,8,1,220
"7514",10839,12.1,158,NA,NA,1,494,10,1,224
"7515",3197,12.3,160,NA,NA,1,494,10,1,224
"6040",13827,9.6,149,NA,NA,1,591,5,1,223
"6041",14135,9.7,153,NA,NA,1,591,5,1,223
"5575",10086,11.1,162,NA,NA,1,575,3,1,228
"5576",4101,11.2,159,NA,NA,1,575,3,1,228
"6044",2744,12.2,158,NA,NA,1,591,5,1,223
"5848",2447,10.5,148,NA,NA,1,542,4,1,227
"6441",12548,8.8,139,NA,NA,1,461,7,1,220
"7554",12846,10.7,147,NA,NA,1,494,9,1,227
"7517",13271,10.85,156,NA,NA,1,494,8,1,227
"7518",3427,11.65,156,NA,NA,1,494,8,1,227
"6689",10886,12.2,160,NA,NA,1,651,6,1,213
"6710",1631,10.6,155,NA,NA,1,651,6,1,219
"7181",14179,10.4,147,NA,NA,1,335,7,1,229
"7238",13060,10.2,149,NA,NA,1,335,7,1,224
"6572",9691,13.2,167,NA,NA,1,461,5,1,220
"7599",12946,12.55,163,NA,NA,1,494,8,1,224
"6780",3640,12.8,147,NA,NA,1,651,4,1,232
"7191",868,11.2,145,NA,NA,1,335,5,1,229
