"","id","y","time","trait","measure","family","Sex","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"3879",1996,16,1987,"s","LAW","gaussian",1,11,1,5.98130511463845,-2.40776014109348,-165.325220458554,7
"3972",8052,12.2,1987,"s","LAW","gaussian",1,12,1,4.98130511463845,2.59223985890652,-165.325220458554,7
"4545",2240,11.6,1991,"s","LAW","gaussian",1,8,1,0.981305114638445,-11.4077601410935,-82.3252204585538,11
"4201",3773,14,1988,"s","LAW","gaussian",1,4,1,9.98130511463845,-8.40776014109348,-39.3252204585538,6
"4590",9428,12.6,1991,"s","LAW","gaussian",1,1,1,5.98130511463845,-7.40776014109348,-82.3252204585538,9
"4591",9551,13.2,1991,"s","LAW","gaussian",1,1,1,5.98130511463845,-7.40776014109348,-82.3252204585538,9
"5040",11345,11.2,1993,"s","LAW","gaussian",1,1,1,2.98130511463845,3.59223985890652,-53.3252204585538,10
"4244",12317,10.2,1989,"s","LAW","gaussian",1,3,1,0.981305114638445,-4.40776014109348,-285.325220458554,6
"4305",7338,11.2,1989,"s","LAW","gaussian",1,9,1,-0.0186948853615547,-4.40776014109348,-285.325220458554,6
"4481",9744,14,1990,"s","LAW","gaussian",1,5,1,-0.0186948853615547,3.59223985890652,-206.325220458554,7
"4586",4008,13.2,1991,"s","LAW","gaussian",1,4,1,5.98130511463845,-4.40776014109348,-82.3252204585538,8
"4571",14186,14.7,1991,"s","LAW","gaussian",1,8,1,1.98130511463845,-6.40776014109348,-82.3252204585538,8
"4573",379,12.8,1991,"s","LAW","gaussian",1,1,1,0.981305114638445,-4.40776014109348,-82.3252204585538,7
"5007",11425,11.5,1993,"s","LAW","gaussian",1,1,1,-2.01869488536155,0.592239858906524,-53.3252204585538,9
"4493",4413,13.1,1990,"s","LAW","gaussian",1,9,1,-0.0186948853615547,1.59223985890652,-206.325220458554,6
"4500",8725,12.4,1990,"s","LAW","gaussian",1,9,1,-0.0186948853615547,1.59223985890652,-206.325220458554,6
"5012",11417,12.7,1993,"s","LAW","gaussian",1,6,1,1.98130511463845,-1.40776014109348,-53.3252204585538,9
"5013",9443,12.7,1993,"s","LAW","gaussian",1,6,1,1.98130511463845,-1.40776014109348,-53.3252204585538,9
"4447",6737,14.4,1990,"s","LAW","gaussian",1,2,1,1.98130511463845,9.59223985890652,-206.325220458554,5
"4395",7638,14.6,1990,"s","LAW","gaussian",1,11,1,-0.0186948853615547,2.59223985890652,-206.325220458554,4
"4595",8526,12.8,1991,"s","LAW","gaussian",1,1,1,1.98130511463845,-1.40776014109348,-82.3252204585538,4
"4608",7667,14.2,1991,"s","LAW","gaussian",1,1,1,1.98130511463845,-0.407760141093476,-82.3252204585538,4
"4632",1487,13.9,1991,"s","LAW","gaussian",1,1,1,3.98130511463845,2.59223985890652,-82.3252204585538,4
"5214",6873,15,1994,"s","LAW","gaussian",1,1,1,3.98130511463845,-0.407760141093476,-61.3252204585538,7
"4565",7850,13.2,1991,"s","LAW","gaussian",1,1,1,1.98130511463845,-6.40776014109348,-82.3252204585538,4
"5001",1845,10.8,1993,"s","LAW","gaussian",1,1,1,1.98130511463845,-0.407760141093476,-53.3252204585538,5
"4809",10864,7.4,1992,"s","LAW","gaussian",1,7,1,-1.01869488536155,1.59223985890652,-175.325220458554,4
"5073",6965,12.3,1993,"s","LAW","gaussian",1,6,1,2.98130511463845,3.59223985890652,-53.3252204585538,5
"5205",1638,9.3,1994,"s","LAW","gaussian",1,1,1,3.98130511463845,-0.407760141093476,-61.3252204585538,6
"5385",9185,8.5,1995,"s","LAW","gaussian",1,4,1,0.981305114638445,6.59223985890652,-139.325220458554,7
"5609",2067,11.9,1996,"s","LAW","gaussian",1,1,1,0.981305114638445,5.59223985890652,78.6747795414462,8
"4575",6373,12.4,1991,"s","LAW","gaussian",1,1,1,1.98130511463845,-4.40776014109348,-82.3252204585538,2
"4740",6199,10.6,1992,"s","LAW","gaussian",1,7,1,0.981305114638445,-5.40776014109348,-175.325220458554,3
"4811",10168,11,1992,"s","LAW","gaussian",1,7,1,-1.01869488536155,-5.40776014109348,-175.325220458554,3
"4920",13856,12.6,1993,"s","LAW","gaussian",1,1,1,0.981305114638445,-6.40776014109348,-53.3252204585538,4
"5241",9056,14.7,1994,"s","LAW","gaussian",1,1,1,3.98130511463845,-10.4077601410935,-61.3252204585538,5
"5835",13224,11.5,1997,"s","LAW","gaussian",1,2,1,-3.01869488536155,1.59223985890652,45.6747795414462,8
"5834",4087,11.7,1997,"s","LAW","gaussian",1,1,1,-3.01869488536155,1.59223985890652,45.6747795414462,8
"4981",10051,11.2,1993,"s","LAW","gaussian",1,1,1,-2.01869488536155,-1.40776014109348,-53.3252204585538,4
"6369",5745,7.9,1999,"s","LAW","gaussian",1,3,1,-5.01869488536155,8.59223985890652,-171.325220458554,9
"5351",393,10.1,1995,"s","LAW","gaussian",1,4,1,2.98130511463845,2.59223985890652,-139.325220458554,5
"5508",13439,10.9,1996,"s","LAW","gaussian",1,1,1,0.981305114638445,-14.4077601410935,78.6747795414462,6
"4917",12318,11.9,1993,"s","LAW","gaussian",1,1,1,0.981305114638445,-6.40776014109348,-53.3252204585538,3
"5153",613,13.7,1994,"s","LAW","gaussian",1,1,1,3.98130511463845,-6.40776014109348,-61.3252204585538,4
"5374",2853,9.8,1995,"s","LAW","gaussian",1,12,1,5.98130511463845,4.59223985890652,-139.325220458554,5
"5377",13471,12.2,1995,"s","LAW","gaussian",1,12,1,0.981305114638445,5.59223985890652,-139.325220458554,4
"5358",172,10.6,1995,"s","LAW","gaussian",1,1,1,3.98130511463845,3.59223985890652,-139.325220458554,4
"5624",3360,9.4,1996,"s","LAW","gaussian",1,1,1,1.98130511463845,7.59223985890652,78.6747795414462,4
"5601",10,12,1996,"s","LAW","gaussian",1,1,1,0.981305114638445,5.59223985890652,78.6747795414462,4
"6514",14322,11.8,2000,"s","LAW","gaussian",1,11,1,-6.01869488536155,-2.40776014109348,-35.3252204585538,8
"7514",10839,12.1,2003,"s","LAW","gaussian",1,9,1,-2.01869488536155,-6.40776014109348,-2.32522045855382,10
"7515",3197,12.3,2003,"s","LAW","gaussian",1,9,1,-2.01869488536155,-6.40776014109348,-2.32522045855382,10
"6040",13827,9.6,1998,"s","LAW","gaussian",1,1,1,-3.01869488536155,-3.40776014109348,94.6747795414462,5
"6041",14135,9.7,1998,"s","LAW","gaussian",1,1,1,-3.01869488536155,-3.40776014109348,94.6747795414462,5
"5575",10086,11.1,1996,"s","LAW","gaussian",1,1,1,1.98130511463845,2.59223985890652,78.6747795414462,3
"5576",4101,11.2,1996,"s","LAW","gaussian",1,1,1,1.98130511463845,2.59223985890652,78.6747795414462,3
"6044",2744,12.2,1998,"s","LAW","gaussian",1,1,1,-3.01869488536155,-2.40776014109348,94.6747795414462,5
"5848",2447,10.5,1997,"s","LAW","gaussian",1,2,1,0.981305114638445,0.592239858906524,45.6747795414462,4
"6441",12548,8.8,2000,"s","LAW","gaussian",1,2,1,-6.01869488536155,-21.4077601410935,-35.3252204585538,7
"7554",12846,10.7,2003,"s","LAW","gaussian",1,4,1,0.981305114638445,-1.40776014109348,-2.32522045855382,9
"7517",13271,10.85,2003,"s","LAW","gaussian",1,2,1,0.981305114638445,-5.40776014109348,-2.32522045855382,8
"7518",3427,11.65,2003,"s","LAW","gaussian",1,9,1,0.981305114638445,-5.40776014109348,-2.32522045855382,8
"6689",10886,12.2,2001,"s","LAW","gaussian",1,1,1,-13.0186948853616,0.592239858906524,154.674779541446,6
"6710",1631,10.6,2001,"s","LAW","gaussian",1,1,1,-7.01869488536155,0.592239858906524,154.674779541446,6
"7181",14179,10.4,2002,"s","LAW","gaussian",1,3,1,2.98130511463845,-2.40776014109348,-161.325220458554,7
"7238",13060,10.2,2002,"s","LAW","gaussian",1,9,1,-2.01869488536155,-2.40776014109348,-161.325220458554,7
"6572",9691,13.2,2000,"s","LAW","gaussian",1,14,1,-6.01869488536155,3.59223985890652,-35.3252204585538,5
"7599",12946,12.55,2003,"s","LAW","gaussian",1,11,1,-2.01869488536155,6.59223985890652,-2.32522045855382,8
"6780",3640,12.8,2001,"s","LAW","gaussian",1,1,1,5.98130511463845,-7.40776014109348,154.674779541446,4
"7191",868,11.2,2002,"s","LAW","gaussian",1,10,1,2.98130511463845,-5.40776014109348,-161.325220458554,5
"8907",8065,9.5,2008,"s","LAW","gaussian",1,1,1,-8.01869488536155,-4.40776014109348,70.6747795414462,8
"8729",10699,10.9,2007,"s","LAW","gaussian",1,1,1,-1.01869488536155,0.592239858906524,-49.3252204585538,7
"9727",2450,11.7,2010,"s","LAW","gaussian",1,2,1,-5.01869488536155,-2.40776014109348,175.674779541446,10
"8988",2990,9.5,2008,"s","LAW","gaussian",1,4,1,-7.01869488536155,2.59223985890652,70.6747795414462,8
"7871",7862,13.15,2004,"s","LAW","gaussian",1,1,1,0.981305114638445,-0.407760141093476,174.674779541446,4
