"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"3889",3466,142,1987,"s","LMHL","gaussian",2,1,5.24155405405406,-0.998310810810807,-168.004222972973,4
"4024",1641,128,1987,"s","LMHL","gaussian",8,1,5.24155405405406,8.00168918918919,-168.004222972973,4
"4402",2380,100,1990,"s","LMHL","gaussian",5,1,0.241554054054063,4.00168918918919,-209.004222972973,7
"4427",13524,191,1990,"s","LMHL","gaussian",2,1,2.24155405405406,11.0016891891892,-209.004222972973,6
"4479",5910,165,1990,"s","LMHL","gaussian",5,1,2.24155405405406,11.0016891891892,-209.004222972973,6
"4741",9967,131,1992,"s","LMHL","gaussian",7,1,-1.75844594594594,-2.99831081081081,-178.004222972973,8
"4396",13995,142,1990,"s","LMHL","gaussian",4,1,0.241554054054063,3.00168918918919,-209.004222972973,4
"5362",6052,69,1995,"s","LMHL","gaussian",4,1,3.24155405405406,4.00168918918919,-142.004222972973,9
"4633",1546,156,1991,"s","LMHL","gaussian",1,1,4.24155405405406,3.00168918918919,-85.004222972973,4
"4418",8341,135,1990,"s","LMHL","gaussian",5,1,0.241554054054063,8.00168918918919,-209.004222972973,3
"4801",9760,161,1992,"s","LMHL","gaussian",5,1,-0.758445945945937,2.00168918918919,-178.004222972973,4
"4576",13537,140,1991,"s","LMHL","gaussian",1,1,2.24155405405406,-3.99831081081081,-85.004222972973,2
"4962",7646,162,1993,"s","LMHL","gaussian",1,1,-1.75844594594594,-3.99831081081081,-56.004222972973,3
"5183",14319,160,1994,"s","LMHL","gaussian",1,1,6.24155405405406,-1.99831081081081,-64.004222972973,4
"5623",1120,140,1996,"s","LMHL","gaussian",1,1,2.24155405405406,8.00168918918919,75.995777027027,4
"6313",1260,113,1999,"s","LMHL","gaussian",3,1,-4.75844594594594,-0.998310810810807,-174.004222972973,6
"6314",5865,136,1999,"s","LMHL","gaussian",8,1,-4.75844594594594,-0.998310810810807,-174.004222972973,6
"7555",12687,97,2003,"s","LMHL","gaussian",7,1,1.24155405405406,-0.998310810810807,-5.00422297297297,9
"7511",13979,126,2003,"s","LMHL","gaussian",2,1,-1.75844594594594,-5.99831081081081,-5.00422297297297,8
"7494",6614,159,2003,"s","LMHL","gaussian",2,1,4.24155405405406,-10.9983108108108,-5.00422297297297,8
"7564",1538,101,2003,"s","LMHL","gaussian",2,1,-1.75844594594594,4.00168918918919,-5.00422297297297,8
"6553",14275,139,2000,"s","LMHL","gaussian",2,1,-5.75844594594594,2.00168918918919,-38.004222972973,5
"6554",12363,119,2000,"s","LMHL","gaussian",2,1,-5.75844594594594,2.00168918918919,-38.004222972973,5
"7180",1733,116,2002,"s","LMHL","gaussian",3,1,3.24155405405406,-1.99831081081081,-164.004222972973,7
"6573",8765,104,2000,"s","LMHL","gaussian",5,1,-5.75844594594594,4.00168918918919,-38.004222972973,5
"7185",5949,51,2002,"s","LMHL","gaussian",5,1,3.24155405405406,-2.99831081081081,-164.004222972973,7
