"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"3889",3466,175,1987,"s","LMSC","gaussian",2,1,5.32606800348736,-1.2153443766347,-180.704446381866,4
"4024",1641,205,1987,"s","LMSC","gaussian",8,1,5.32606800348736,7.7846556233653,-180.704446381866,4
"3941",9861,230,1987,"s","LMSC","gaussian",3,1,5.32606800348736,7.7846556233653,-180.704446381866,3
"5362",6052,110,1995,"s","LMSC","gaussian",4,1,3.32606800348736,3.7846556233653,-154.704446381866,9
"5623",1120,170,1996,"s","LMSC","gaussian",1,1,2.32606800348736,7.7846556233653,63.2955536181342,4
"7226",1187,170,2002,"s","LMSC","gaussian",3,1,-1.67393199651264,1.7846556233653,-176.704446381866,9
"6313",1260,191,1999,"s","LMSC","gaussian",3,1,-4.67393199651264,-1.2153443766347,-186.704446381866,6
"6314",5865,191,1999,"s","LMSC","gaussian",8,1,-4.67393199651264,-1.2153443766347,-186.704446381866,6
"7555",12687,165,2003,"s","LMSC","gaussian",7,1,1.32606800348736,-1.2153443766347,-17.7044463818658,9
"7511",13979,120,2003,"s","LMSC","gaussian",2,1,-1.67393199651264,-6.2153443766347,-17.7044463818658,8
"7494",6614,245,2003,"s","LMSC","gaussian",2,1,4.32606800348736,-11.2153443766347,-17.7044463818658,8
"7564",1538,155,2003,"s","LMSC","gaussian",2,1,-1.67393199651264,3.7846556233653,-17.7044463818658,8
"7565",3409,190,2003,"s","LMSC","gaussian",2,1,-1.67393199651264,3.7846556233653,-17.7044463818658,8
"6553",14275,180,2000,"s","LMSC","gaussian",2,1,-5.67393199651264,1.7846556233653,-50.7044463818658,5
"6554",12363,200,2000,"s","LMSC","gaussian",2,1,-5.67393199651264,1.7846556233653,-50.7044463818658,5
"7180",1733,170,2002,"s","LMSC","gaussian",3,1,3.32606800348736,-2.2153443766347,-176.704446381866,7
"6573",8765,210,2000,"s","LMSC","gaussian",5,1,-5.67393199651264,3.7846556233653,-50.7044463818658,5
"7185",5949,195,2002,"s","LMSC","gaussian",5,1,3.32606800348736,-3.2153443766347,-176.704446381866,7
"6276",11193,221,1999,"s","LMSC","gaussian",3,1,-1.67393199651264,-2.2153443766347,-186.704446381866,4
"6525",8593,200,2000,"s","LMSC","gaussian",1,1,-5.67393199651264,-2.2153443766347,-50.7044463818658,4
"7506",2421,190,2003,"s","LMSC","gaussian",1,1,1.32606800348736,-5.2153443766347,-17.7044463818658,4
"7687",5983,200,2003,"s","LMSC","gaussian",2,1,1.32606800348736,1.7846556233653,-17.7044463818658,4
"8696",10426,208,2007,"s","LMSC","gaussian",5,1,-0.673931996512636,1.7846556233653,-64.7044463818658,5
"8743",1740,209,2007,"s","LMSC","gaussian",8,1,-4.67393199651264,6.7846556233653,-64.7044463818658,5
"8974",4787,229,2008,"s","LMSC","gaussian",12,1,-7.67393199651264,0.784655623365296,55.2955536181342,5
"8958",9526,164,2008,"s","LMSC","gaussian",4,1,-7.67393199651264,-2.2153443766347,55.2955536181342,5
"8715",145,203,2007,"s","LMSC","gaussian",5,1,-4.67393199651264,2.7846556233653,-64.7044463818658,4
"8922",11308,157,2008,"s","LMSC","gaussian",4,1,-6.67393199651264,-3.2153443766347,55.2955536181342,5
"8915",7305,195,2008,"s","LMSC","gaussian",4,1,-0.673931996512636,-4.2153443766347,55.2955536181342,3
"8953",9684,173,2008,"s","LMSC","gaussian",1,1,-6.67393199651264,-3.2153443766347,55.2955536181342,3
