"","id","y","time","trait","measure","family","Sex","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"4545",2240,152,1991,"s","LHL","gaussian",1,8,1,1.24972334931761,-11.2043526374032,-87.3441534489119,11
"4201",3773,162,1988,"s","LHL","gaussian",1,4,1,10.2497233493176,-8.20435263740318,-44.3441534489119,6
"4590",9428,155,1991,"s","LHL","gaussian",1,1,1,6.24972334931761,-7.20435263740318,-87.3441534489119,9
"4591",9551,159,1991,"s","LHL","gaussian",1,1,1,6.24972334931761,-7.20435263740318,-87.3441534489119,9
"5040",11345,156,1993,"s","LHL","gaussian",1,1,1,3.24972334931761,3.79564736259682,-58.3441534489119,10
"4244",12317,144,1989,"s","LHL","gaussian",1,3,1,1.24972334931761,-4.20435263740318,-290.344153448912,6
"4305",7338,161,1989,"s","LHL","gaussian",1,9,1,0.249723349317605,-4.20435263740318,-290.344153448912,6
"4481",9744,166,1990,"s","LHL","gaussian",1,5,1,0.249723349317605,3.79564736259682,-211.344153448912,7
"4586",4008,156,1991,"s","LHL","gaussian",1,4,1,6.24972334931761,-4.20435263740318,-87.3441534489119,8
"4571",14186,167,1991,"s","LHL","gaussian",1,8,1,2.24972334931761,-6.20435263740318,-87.3441534489119,8
"4573",379,160,1991,"s","LHL","gaussian",1,1,1,1.24972334931761,-4.20435263740318,-87.3441534489119,7
"5007",11425,158,1993,"s","LHL","gaussian",1,1,1,-1.75027665068239,0.795647362596824,-58.3441534489119,9
"4493",4413,159,1990,"s","LHL","gaussian",1,9,1,0.249723349317605,1.79564736259682,-211.344153448912,6
"4500",8725,153,1990,"s","LHL","gaussian",1,9,1,0.249723349317605,1.79564736259682,-211.344153448912,6
"5012",11417,160,1993,"s","LHL","gaussian",1,6,1,2.24972334931761,-1.20435263740318,-58.3441534489119,9
"5013",9443,162,1993,"s","LHL","gaussian",1,6,1,2.24972334931761,-1.20435263740318,-58.3441534489119,9
"4447",6737,165,1990,"s","LHL","gaussian",1,2,1,2.24972334931761,9.79564736259682,-211.344153448912,5
"4395",7638,159,1990,"s","LHL","gaussian",1,11,1,0.249723349317605,2.79564736259682,-211.344153448912,4
"4595",8526,161,1991,"s","LHL","gaussian",1,1,1,2.24972334931761,-1.20435263740318,-87.3441534489119,4
"4608",7667,170,1991,"s","LHL","gaussian",1,1,1,2.24972334931761,-0.204352637403176,-87.3441534489119,4
"4632",1487,166,1991,"s","LHL","gaussian",1,1,1,4.24972334931761,2.79564736259682,-87.3441534489119,4
"5214",6873,164,1994,"s","LHL","gaussian",1,1,1,4.24972334931761,-0.204352637403176,-66.3441534489119,7
"4565",7850,160,1991,"s","LHL","gaussian",1,1,1,2.24972334931761,-6.20435263740318,-87.3441534489119,4
"5001",1845,152,1993,"s","LHL","gaussian",1,1,1,2.24972334931761,-0.204352637403176,-58.3441534489119,5
"4809",10864,135,1992,"s","LHL","gaussian",1,7,1,-0.750276650682395,1.79564736259682,-180.344153448912,4
"5073",6965,160,1993,"s","LHL","gaussian",1,6,1,3.24972334931761,3.79564736259682,-58.3441534489119,5
"5205",1638,140,1994,"s","LHL","gaussian",1,1,1,4.24972334931761,-0.204352637403176,-66.3441534489119,6
"5385",9185,143,1995,"s","LHL","gaussian",1,4,1,1.24972334931761,6.79564736259682,-144.344153448912,7
"5609",2067,160,1996,"s","LHL","gaussian",1,1,1,1.24972334931761,5.79564736259682,73.6558465510881,8
"4575",6373,164,1991,"s","LHL","gaussian",1,1,1,2.24972334931761,-4.20435263740318,-87.3441534489119,2
"4740",6199,145,1992,"s","LHL","gaussian",1,7,1,1.24972334931761,-5.20435263740318,-180.344153448912,3
"4811",10168,148,1992,"s","LHL","gaussian",1,7,1,-0.750276650682395,-5.20435263740318,-180.344153448912,3
"4920",13856,152,1993,"s","LHL","gaussian",1,1,1,1.24972334931761,-6.20435263740318,-58.3441534489119,4
"5241",9056,164,1994,"s","LHL","gaussian",1,1,1,4.24972334931761,-10.2043526374032,-66.3441534489119,5
"5835",13224,154,1997,"s","LHL","gaussian",1,2,1,-2.75027665068239,1.79564736259682,40.6558465510881,8
"5834",4087,162,1997,"s","LHL","gaussian",1,1,1,-2.75027665068239,1.79564736259682,40.6558465510881,8
"4981",10051,150,1993,"s","LHL","gaussian",1,1,1,-1.75027665068239,-1.20435263740318,-58.3441534489119,4
"6369",5745,137,1999,"s","LHL","gaussian",1,3,1,-4.75027665068239,8.79564736259682,-176.344153448912,9
"5351",393,147,1995,"s","LHL","gaussian",1,4,1,3.24972334931761,2.79564736259682,-144.344153448912,5
"5508",13439,145,1996,"s","LHL","gaussian",1,1,1,1.24972334931761,-14.2043526374032,73.6558465510881,6
"4917",12318,164,1993,"s","LHL","gaussian",1,1,1,1.24972334931761,-6.20435263740318,-58.3441534489119,3
"5153",613,165,1994,"s","LHL","gaussian",1,1,1,4.24972334931761,-6.20435263740318,-66.3441534489119,4
"5374",2853,148,1995,"s","LHL","gaussian",1,12,1,6.24972334931761,4.79564736259682,-144.344153448912,5
"5377",13471,157,1995,"s","LHL","gaussian",1,12,1,1.24972334931761,5.79564736259682,-144.344153448912,4
"5358",172,152,1995,"s","LHL","gaussian",1,1,1,4.24972334931761,3.79564736259682,-144.344153448912,4
"5624",3360,153,1996,"s","LHL","gaussian",1,1,1,2.24972334931761,7.79564736259682,73.6558465510881,4
"5601",10,157,1996,"s","LHL","gaussian",1,1,1,1.24972334931761,5.79564736259682,73.6558465510881,4
"6514",14322,153,2000,"s","LHL","gaussian",1,11,1,-5.75027665068239,-2.20435263740318,-40.3441534489119,8
"7514",10839,158,2003,"s","LHL","gaussian",1,9,1,-1.75027665068239,-6.20435263740318,-7.34415344891187,10
"7515",3197,160,2003,"s","LHL","gaussian",1,9,1,-1.75027665068239,-6.20435263740318,-7.34415344891187,10
"6040",13827,149,1998,"s","LHL","gaussian",1,1,1,-2.75027665068239,-3.20435263740318,89.6558465510881,5
"6041",14135,153,1998,"s","LHL","gaussian",1,1,1,-2.75027665068239,-3.20435263740318,89.6558465510881,5
"5575",10086,162,1996,"s","LHL","gaussian",1,1,1,2.24972334931761,2.79564736259682,73.6558465510881,3
