"","LambAugWeight","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"4210",17.1,1,4263,1,1,15.0316205533597,-41.2450592885376,-5.40776014109348,1988
"3879",16,1,1996,1,1,6.03162055335969,-167.245059288538,-2.40776014109348,1987
"3972",12.2,1,8052,1,1,5.03162055335969,-167.245059288538,2.59223985890652,1987
"4545",11.6,1,2240,1,1,1.03162055335969,-84.2450592885376,-11.4077601410935,1991
"4201",14,1,3773,1,1,10.0316205533597,-41.2450592885376,-8.40776014109348,1988
"4590",12.6,1,9428,1,1,6.03162055335969,-84.2450592885376,-7.40776014109348,1991
"4591",13.2,1,9551,1,1,6.03162055335969,-84.2450592885376,-7.40776014109348,1991
"5040",11.2,1,11345,1,1,3.03162055335969,-55.2450592885376,3.59223985890652,1993
"4244",10.2,1,12317,1,1,1.03162055335969,-287.245059288538,-4.40776014109348,1989
"4305",11.2,1,7338,1,1,0.0316205533596872,-287.245059288538,-4.40776014109348,1989
"4481",14,1,9744,1,1,0.0316205533596872,-208.245059288538,3.59223985890652,1990
"4586",13.2,1,4008,1,1,6.03162055335969,-84.2450592885376,-4.40776014109348,1991
"4571",14.7,1,14186,1,1,2.03162055335969,-84.2450592885376,-6.40776014109348,1991
"4573",12.8,1,379,1,1,1.03162055335969,-84.2450592885376,-4.40776014109348,1991
"5007",11.5,1,11425,1,1,-1.96837944664031,-55.2450592885376,0.592239858906524,1993
"4493",13.1,1,4413,1,1,0.0316205533596872,-208.245059288538,1.59223985890652,1990
"4500",12.4,1,8725,1,1,0.0316205533596872,-208.245059288538,1.59223985890652,1990
"5012",12.7,1,11417,1,1,2.03162055335969,-55.2450592885376,-1.40776014109348,1993
"5013",12.7,1,9443,1,1,2.03162055335969,-55.2450592885376,-1.40776014109348,1993
"4447",14.4,1,6737,1,1,2.03162055335969,-208.245059288538,9.59223985890652,1990
"4395",14.6,1,7638,1,1,0.0316205533596872,-208.245059288538,2.59223985890652,1990
"4595",12.8,1,8526,1,1,2.03162055335969,-84.2450592885376,-1.40776014109348,1991
