"","LambHindLeg","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"4210",159,1,4263,1,1,15.287254280279,-45.7064045656309,-5.20435263740318,1988
"4545",152,1,2240,1,1,1.287254280279,-88.7064045656309,-11.2043526374032,1991
"4201",162,1,3773,1,1,10.287254280279,-45.7064045656309,-8.20435263740318,1988
"4590",155,1,9428,1,1,6.287254280279,-88.7064045656309,-7.20435263740318,1991
"4591",159,1,9551,1,1,6.287254280279,-88.7064045656309,-7.20435263740318,1991
"5040",156,1,11345,1,1,3.287254280279,-59.7064045656309,3.79564736259682,1993
"4244",144,1,12317,1,1,1.287254280279,-291.706404565631,-4.20435263740318,1989
"4305",161,1,7338,1,1,0.287254280279001,-291.706404565631,-4.20435263740318,1989
"4481",166,1,9744,1,1,0.287254280279001,-212.706404565631,3.79564736259682,1990
"4586",156,1,4008,1,1,6.287254280279,-88.7064045656309,-4.20435263740318,1991
"4571",167,1,14186,1,1,2.287254280279,-88.7064045656309,-6.20435263740318,1991
"4573",160,1,379,1,1,1.287254280279,-88.7064045656309,-4.20435263740318,1991
"5007",158,1,11425,1,1,-1.712745719721,-59.7064045656309,0.795647362596824,1993
"4493",159,1,4413,1,1,0.287254280279001,-212.706404565631,1.79564736259682,1990
"4500",153,1,8725,1,1,0.287254280279001,-212.706404565631,1.79564736259682,1990
"5012",160,1,11417,1,1,2.287254280279,-59.7064045656309,-1.20435263740318,1993
"5013",162,1,9443,1,1,2.287254280279,-59.7064045656309,-1.20435263740318,1993
"4447",165,1,6737,1,1,2.287254280279,-212.706404565631,9.79564736259682,1990
"4395",159,1,7638,1,1,0.287254280279001,-212.706404565631,2.79564736259682,1990
"4595",161,1,8526,1,1,2.287254280279,-88.7064045656309,-1.20435263740318,1991
"4608",170,1,7667,1,1,2.287254280279,-88.7064045656309,-0.204352637403176,1991
"4632",166,1,1487,1,1,4.287254280279,-88.7064045656309,2.79564736259682,1991
"5214",164,1,6873,1,1,4.287254280279,-67.7064045656309,-0.204352637403176,1994
"4565",160,1,7850,1,1,2.287254280279,-88.7064045656309,-6.20435263740318,1991
"5001",152,1,1845,1,1,2.287254280279,-59.7064045656309,-0.204352637403176,1993
"4809",135,1,10864,1,1,-0.712745719720999,-181.706404565631,1.79564736259682,1992
"5073",160,1,6965,1,1,3.287254280279,-59.7064045656309,3.79564736259682,1993
"5205",140,1,1638,1,1,4.287254280279,-67.7064045656309,-0.204352637403176,1994
"5385",143,1,9185,1,1,1.287254280279,-145.706404565631,6.79564736259682,1995
"5609",160,1,2067,1,1,1.287254280279,72.2935954343691,5.79564736259682,1996
"4575",164,1,6373,1,1,2.287254280279,-88.7064045656309,-4.20435263740318,1991
"4740",145,1,6199,1,1,1.287254280279,-181.706404565631,-5.20435263740318,1992
"4811",148,1,10168,1,1,-0.712745719720999,-181.706404565631,-5.20435263740318,1992
"4920",152,1,13856,1,1,1.287254280279,-59.7064045656309,-6.20435263740318,1993
"5241",164,1,9056,1,1,4.287254280279,-67.7064045656309,-10.2043526374032,1994
"5835",154,1,13224,1,1,-2.712745719721,39.2935954343691,1.79564736259682,1997
"5834",162,1,4087,1,1,-2.712745719721,39.2935954343691,1.79564736259682,1997
"4981",150,1,10051,1,1,-1.712745719721,-59.7064045656309,-1.20435263740318,1993
"6369",137,1,5745,1,1,-4.712745719721,-177.706404565631,8.79564736259682,1999
"5351",147,1,393,1,1,3.287254280279,-145.706404565631,2.79564736259682,1995
"5508",145,1,13439,1,1,1.287254280279,72.2935954343691,-14.2043526374032,1996
"4917",164,1,12318,1,1,1.287254280279,-59.7064045656309,-6.20435263740318,1993
"5153",165,1,613,1,1,4.287254280279,-67.7064045656309,-6.20435263740318,1994
"5374",148,1,2853,1,1,6.287254280279,-145.706404565631,4.79564736259682,1995
"5377",157,1,13471,1,1,1.287254280279,-145.706404565631,5.79564736259682,1995
"5358",152,1,172,1,1,4.287254280279,-145.706404565631,3.79564736259682,1995
"5624",153,1,3360,1,1,2.287254280279,72.2935954343691,7.79564736259682,1996
"5601",157,1,10,1,1,1.287254280279,72.2935954343691,5.79564736259682,1996
"6514",153,1,14322,1,1,-5.712745719721,-41.7064045656309,-2.20435263740318,2000
"7514",158,1,10839,1,1,-1.712745719721,-8.70640456563092,-6.20435263740318,2003
"7515",160,1,3197,1,1,-1.712745719721,-8.70640456563092,-6.20435263740318,2003
"6040",149,1,13827,1,1,-2.712745719721,88.2935954343691,-3.20435263740318,1998
"6041",153,1,14135,1,1,-2.712745719721,88.2935954343691,-3.20435263740318,1998
"5575",162,1,10086,1,1,2.287254280279,72.2935954343691,2.79564736259682,1996
"5576",159,1,4101,1,1,2.287254280279,72.2935954343691,2.79564736259682,1996
