"","LambHornLen","Sur1","ID","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"3889",142,1,3466,1,5.28790087463557,-169.214285714286,-0.998310810810807,1987
"4024",128,1,1641,1,5.28790087463557,-169.214285714286,8.00168918918919,1987
"4402",100,1,2380,1,0.287900874635568,-210.214285714286,4.00168918918919,1990
"4427",191,1,13524,1,2.28790087463557,-210.214285714286,11.0016891891892,1990
"4479",165,1,5910,1,2.28790087463557,-210.214285714286,11.0016891891892,1990
"4741",131,1,9967,1,-1.71209912536443,-179.214285714286,-2.99831081081081,1992
"4396",142,1,13995,1,0.287900874635568,-210.214285714286,3.00168918918919,1990
"5362",69,1,6052,1,3.28790087463557,-143.214285714286,4.00168918918919,1995
"4633",156,1,1546,1,4.28790087463557,-86.2142857142857,3.00168918918919,1991
"4418",135,1,8341,1,0.287900874635568,-210.214285714286,8.00168918918919,1990
"4801",161,1,9760,1,-0.712099125364432,-179.214285714286,2.00168918918919,1992
"4576",140,0,13537,1,2.28790087463557,-86.2142857142857,-3.99831081081081,1991
"4962",162,0,7646,1,-1.71209912536443,-57.2142857142857,-3.99831081081081,1993
"5183",160,0,14319,1,6.28790087463557,-65.2142857142857,-1.99831081081081,1994
"5623",140,1,1120,1,2.28790087463557,74.7857142857143,8.00168918918919,1996
"6313",113,1,1260,1,-4.71209912536443,-175.214285714286,-0.998310810810807,1999
"6314",136,1,5865,1,-4.71209912536443,-175.214285714286,-0.998310810810807,1999
"7555",97,1,12687,1,1.28790087463557,-6.21428571428572,-0.998310810810807,2003
"7511",126,1,13979,1,-1.71209912536443,-6.21428571428572,-5.99831081081081,2003
"7494",159,1,6614,1,4.28790087463557,-6.21428571428572,-10.9983108108108,2003
"7564",101,1,1538,1,-1.71209912536443,-6.21428571428572,4.00168918918919,2003
"6553",139,1,14275,1,-5.71209912536443,-39.2142857142857,2.00168918918919,2000
"6554",119,1,12363,1,-5.71209912536443,-39.2142857142857,2.00168918918919,2000
"7180",116,1,1733,1,3.28790087463557,-165.214285714286,-1.99831081081081,2002
"6573",104,1,8765,1,-5.71209912536443,-39.2142857142857,4.00168918918919,2000
"7185",51,1,5949,1,3.28790087463557,-165.214285714286,-2.99831081081081,2002
"6276",125,1,11193,1,-1.71209912536443,-175.214285714286,-1.99831081081081,1999
"6525",144,1,8593,1,-5.71209912536443,-39.2142857142857,-1.99831081081081,2000
"7506",113,1,2421,1,1.28790087463557,-6.21428571428572,-4.99831081081081,2003
"7687",63,1,5983,1,1.28790087463557,-6.21428571428572,2.00168918918919,2003
"6357",124,1,3178,1,-2.71209912536443,-175.214285714286,4.00168918918919,1999
"7190",125,1,2402,1,-1.71209912536443,-165.214285714286,-2.99831081081081,2002
"8696",119,1,10426,1,-0.712099125364432,-53.2142857142857,2.00168918918919,2007
"8958",74,1,9526,1,-7.71209912536443,66.7857142857143,-1.99831081081081,2008
"8715",94,1,145,1,-4.71209912536443,-53.2142857142857,3.00168918918919,2007
"8922",105,1,11308,1,-6.71209912536443,66.7857142857143,-2.99831081081081,2008
"8915",85,1,7305,1,-0.712099125364432,66.7857142857143,-3.99831081081081,2008
"11837",54,0,12042,1,-5.71209912536443,-18.2142857142857,2.00168918918919,2014
"13058",143,1,2423,1,-2.71209912536443,-122.214285714286,-1.99831081081081,2018
"4618",157,1,9482,0,2.28790087463557,-86.2142857142857,0.00168918918919303,1991
"4794",110,1,1769,0,-1.71209912536443,-179.214285714286,18.0016891891892,1992
"6319",108,1,2375,0,-2.71209912536443,-175.214285714286,1.00168918918919,1999
"6330",148,1,8566,0,-2.71209912536443,-175.214285714286,1.00168918918919,1999
"6450",142,1,10867,0,-3.71209912536443,-39.2142857142857,-10.9983108108108,2000
"4233",120,1,12175,0,-3.71209912536443,-289.214285714286,-6.99831081081081,1989
"4433",190,1,7159,0,0.287900874635568,-210.214285714286,5.00168918918919,1990
"4388",180,1,8359,0,0.287900874635568,-210.214285714286,1.00168918918919,1990
"4611",146,1,12400,0,2.28790087463557,-86.2142857142857,2.00168918918919,1991
"3920",138,1,2955,0,5.28790087463557,-169.214285714286,3.00168918918919,1987
"4387",159,0,14248,0,2.28790087463557,-210.214285714286,1.00168918918919,1990
"4517",194,1,11579,0,1.28790087463557,-86.2142857142857,-6.99831081081081,1991
"4568",160,1,3910,0,2.28790087463557,-86.2142857142857,-6.99831081081081,1991
"4020",140,1,12562,0,6.28790087463557,-169.214285714286,10.0016891891892,1987
"4436",185,1,2725,0,0.287900874635568,-210.214285714286,5.00168918918919,1990
"4964",164,1,13789,0,-1.71209912536443,-57.2142857142857,-2.99831081081081,1993
"4438",214,0,13337,0,0.287900874635568,-210.214285714286,-11.9983108108108,1990
"4778",145,1,12607,0,-1.71209912536443,-179.214285714286,3.00168918918919,1992
"4019",200,1,955,0,5.28790087463557,-169.214285714286,-5.99831081081081,1987
"4306",200,1,10095,0,6.28790087463557,-289.214285714286,-2.99831081081081,1989
"4644",175,1,4341,0,2.28790087463557,-86.2142857142857,3.00168918918919,1991
"4731",111,1,12740,0,-1.71209912536443,-179.214285714286,-7.99831081081081,1992
"5339",119,1,5770,0,6.28790087463557,-143.214285714286,1.00168918918919,1995
"5047",182,1,10146,0,3.28790087463557,-57.2142857142857,5.00168918918919,1993
"4733",169,1,12574,0,-1.71209912536443,-179.214285714286,-5.99831081081081,1992
"4663",178,1,6108,0,1.28790087463557,-86.2142857142857,0.00168918918919303,1991
"4779",198,1,10766,0,2.28790087463557,-179.214285714286,3.00168918918919,1992
"4415",141,1,11436,0,12.2879008746356,-210.214285714286,8.00168918918919,1990
"4556",211,1,13084,0,2.28790087463557,-86.2142857142857,-8.99831081081081,1991
"5059",177,1,11682,0,1.28790087463557,-57.2142857142857,1.00168918918919,1993
"4612",82,1,9509,0,2.28790087463557,-86.2142857142857,1.00168918918919,1991
"4434",113,1,5344,0,0.287900874635568,-210.214285714286,18.0016891891892,1990
"4420",153,1,8195,0,0.287900874635568,-210.214285714286,9.00168918918919,1990
"4915",165,1,8334,0,1.28790087463557,-57.2142857142857,-6.99831081081081,1993
"4722",153,1,3597,0,1.28790087463557,-179.214285714286,-11.9983108108108,1992
"5137",162,0,1202,0,2.28790087463557,-65.2142857142857,-5.99831081081081,1994
"5347",143,1,7515,0,5.28790087463557,-143.214285714286,2.00168918918919,1995
"4752",144,1,3238,0,-0.712099125364432,-179.214285714286,-1.99831081081081,1992
"5401",139,1,12841,0,6.28790087463557,-143.214285714286,8.00168918918919,1995
"4909",117,1,3747,0,3.28790087463557,-57.2142857142857,-10.9983108108108,1993
"5618",149,1,6342,0,2.28790087463557,74.7857142857143,6.00168918918919,1996
"4931",131,1,630,0,-1.71209912536443,-57.2142857142857,-4.99831081081081,1993
"6342",127,1,1085,0,3.28790087463557,-175.214285714286,-2.99831081081081,1999
"4926",159,1,11215,0,1.28790087463557,-57.2142857142857,-5.99831081081081,1993
"5584",179,0,6854,0,1.28790087463557,74.7857142857143,5.00168918918919,1996
"6490",117,1,9467,0,-3.71209912536443,-39.2142857142857,-3.99831081081081,2000
"5808",179,1,4469,0,-2.71209912536443,41.7857142857143,0.00168918918919303,1997
"5654",170,1,665,0,1.28790087463557,74.7857142857143,19.0016891891892,1996
"5376",109,1,10052,0,1.28790087463557,-143.214285714286,6.00168918918919,1995
"5660",120,0,6437,0,0.287900874635568,74.7857142857143,7.00168918918919,1996
"5392",138,1,9195,0,4.28790087463557,-143.214285714286,8.00168918918919,1995
"4966",111,1,2841,0,-1.71209912536443,-57.2142857142857,-1.99831081081081,1993
"5395",175,1,97,0,1.28790087463557,-143.214285714286,9.00168918918919,1995
"6343",137,1,3019,0,3.28790087463557,-175.214285714286,1.00168918918919,1999
"6337",191,1,2027,0,3.28790087463557,-175.214285714286,2.00168918918919,1999
"5360",137,1,9608,0,1.28790087463557,-143.214285714286,4.00168918918919,1995
"7175",82,1,9229,0,-1.71209912536443,-165.214285714286,-3.99831081081081,2002
