"","LambBolCirc","Sur1","ID","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"3889",175,1,3466,1,5.38041853512706,-181.500747384155,-1.2153443766347,1987
"4024",205,1,1641,1,5.38041853512706,-181.500747384155,7.7846556233653,1987
"3941",230,1,9861,1,5.38041853512706,-181.500747384155,7.7846556233653,1987
"5362",110,1,6052,1,3.38041853512706,-155.500747384155,3.7846556233653,1995
"5623",170,1,1120,1,2.38041853512706,62.4992526158445,7.7846556233653,1996
"7226",170,1,1187,1,-1.61958146487294,-177.500747384155,1.7846556233653,2002
"6313",191,1,1260,1,-4.61958146487294,-187.500747384155,-1.2153443766347,1999
"6314",191,1,5865,1,-4.61958146487294,-187.500747384155,-1.2153443766347,1999
"7555",165,1,12687,1,1.38041853512706,-18.5007473841555,-1.2153443766347,2003
"7511",120,1,13979,1,-1.61958146487294,-18.5007473841555,-6.2153443766347,2003
"7494",245,1,6614,1,4.38041853512706,-18.5007473841555,-11.2153443766347,2003
"7564",155,1,1538,1,-1.61958146487294,-18.5007473841555,3.7846556233653,2003
"7565",190,1,3409,1,-1.61958146487294,-18.5007473841555,3.7846556233653,2003
"6553",180,1,14275,1,-5.61958146487294,-51.5007473841555,1.7846556233653,2000
"6554",200,1,12363,1,-5.61958146487294,-51.5007473841555,1.7846556233653,2000
"7180",170,1,1733,1,3.38041853512706,-177.500747384155,-2.2153443766347,2002
"6573",210,1,8765,1,-5.61958146487294,-51.5007473841555,3.7846556233653,2000
"7185",195,1,5949,1,3.38041853512706,-177.500747384155,-3.2153443766347,2002
"6276",221,1,11193,1,-1.61958146487294,-187.500747384155,-2.2153443766347,1999
"6525",200,1,8593,1,-5.61958146487294,-51.5007473841555,-2.2153443766347,2000
"7506",190,1,2421,1,1.38041853512706,-18.5007473841555,-5.2153443766347,2003
"7687",200,1,5983,1,1.38041853512706,-18.5007473841555,1.7846556233653,2003
"6357",203,1,3178,1,-2.61958146487294,-187.500747384155,3.7846556233653,1999
"7190",160,1,2402,1,-1.61958146487294,-177.500747384155,-3.2153443766347,2002
"8696",208,1,10426,1,-0.619581464872937,-65.5007473841555,1.7846556233653,2007
"8743",209,1,1740,1,-4.61958146487294,-65.5007473841555,6.7846556233653,2007
"8974",229,1,4787,1,-7.61958146487294,54.4992526158445,0.784655623365296,2008
"8958",164,1,9526,1,-7.61958146487294,54.4992526158445,-2.2153443766347,2008
"8715",203,1,145,1,-4.61958146487294,-65.5007473841555,2.7846556233653,2007
"8922",157,1,11308,1,-6.61958146487294,54.4992526158445,-3.2153443766347,2008
"8915",195,1,7305,1,-0.619581464872937,54.4992526158445,-4.2153443766347,2008
"8953",173,1,9684,1,-6.61958146487294,54.4992526158445,-3.2153443766347,2008
"11837",125,0,12042,1,-5.61958146487294,-30.5007473841555,1.7846556233653,2014
"13058",185,1,2423,1,-2.61958146487294,-134.500747384155,-2.2153443766347,2018
"6319",221,1,2375,0,-2.61958146487294,-187.500747384155,0.784655623365296,1999
"6330",185,1,8566,0,-2.61958146487294,-187.500747384155,0.784655623365296,1999
"6450",220,1,10867,0,-3.61958146487294,-51.5007473841555,-11.2153443766347,2000
"3920",205,1,2955,0,5.38041853512706,-181.500747384155,2.7846556233653,1987
"4020",205,1,12562,0,6.38041853512706,-181.500747384155,9.7846556233653,1987
"4019",220,1,955,0,5.38041853512706,-181.500747384155,-6.2153443766347,1987
"4023",195,1,12209,0,6.38041853512706,-181.500747384155,2.7846556233653,1987
"3884",190,1,6999,0,5.38041853512706,-181.500747384155,-1.2153443766347,1987
"5339",209,1,5770,0,6.38041853512706,-155.500747384155,0.784655623365296,1995
"5405",210,1,10112,0,4.38041853512706,-155.500747384155,9.7846556233653,1995
"5347",227,1,7515,0,5.38041853512706,-155.500747384155,1.7846556233653,1995
"5401",165,1,12841,0,6.38041853512706,-155.500747384155,7.7846556233653,1995
"5618",220,1,6342,0,2.38041853512706,62.4992526158445,5.7846556233653,1996
"5349",195,1,640,0,1.38041853512706,-155.500747384155,2.7846556233653,1995
"6342",134,1,1085,0,3.38041853512706,-187.500747384155,-3.2153443766347,1999
"5584",230,0,6854,0,1.38041853512706,62.4992526158445,4.7846556233653,1996
"6490",220,1,9467,0,-3.61958146487294,-51.5007473841555,-4.2153443766347,2000
"5654",190,1,665,0,1.38041853512706,62.4992526158445,18.7846556233653,1996
"5376",174,1,10052,0,1.38041853512706,-155.500747384155,5.7846556233653,1995
"5660",230,0,6437,0,0.380418535127063,62.4992526158445,6.7846556233653,1996
"5392",197,1,9195,0,4.38041853512706,-155.500747384155,7.7846556233653,1995
"5395",216,1,97,0,1.38041853512706,-155.500747384155,8.7846556233653,1995
"6343",206,1,3019,0,3.38041853512706,-187.500747384155,0.784655623365296,1999
"6337",244,1,2027,0,3.38041853512706,-187.500747384155,1.7846556233653,1999
"5360",140,1,9608,0,1.38041853512706,-155.500747384155,3.7846556233653,1995
"7175",190,1,9229,0,-1.61958146487294,-177.500747384155,-4.2153443766347,2002
"5387",125,1,11220,0,1.38041853512706,-155.500747384155,6.7846556233653,1995
"6362",198,1,2911,0,-1.61958146487294,-187.500747384155,10.7846556233653,1999
"6293",205,1,2508,0,3.38041853512706,-187.500747384155,-4.2153443766347,1999
"6267",249,1,4597,0,-4.61958146487294,-187.500747384155,-3.2153443766347,1999
"6299",228,1,7777,0,3.38041853512706,-187.500747384155,-0.215344376634704,1999
"6296",223,1,12100,0,-4.61958146487294,-187.500747384155,0.784655623365296,1999
"6359",212,1,6381,0,-4.61958146487294,-187.500747384155,8.7846556233653,1999
"6280",194,1,355,0,-4.61958146487294,-187.500747384155,-3.2153443766347,1999
"7144",215,1,8818,0,3.38041853512706,-177.500747384155,-23.2153443766347,2002
"6272",243,1,2089,0,3.38041853512706,-187.500747384155,-2.2153443766347,1999
"7551",240,1,8460,0,4.38041853512706,-18.5007473841555,1.7846556233653,2003
"6444",210,1,5848,0,-3.61958146487294,-51.5007473841555,-17.2153443766347,2000
"6769",220,0,8494,0,-0.619581464872937,138.499252615845,-15.2153443766347,2001
"7184",175,1,9107,0,3.38041853512706,-177.500747384155,-1.2153443766347,2002
"7174",195,1,9620,0,-1.61958146487294,-177.500747384155,-4.2153443766347,2002
"6318",222,1,6898,0,-4.61958146487294,-187.500747384155,1.7846556233653,1999
"6281",240,1,1788,0,3.38041853512706,-187.500747384155,-2.2153443766347,1999
"7571",190,1,12970,0,-1.61958146487294,-18.5007473841555,3.7846556233653,2003
