"","ID","Weight","CapAgeYears","Sex","Twin","jdateMC","PopDensMC","CapYear","BirthYear","animal"
"360",8348,15,1,1,0,5.38777638715061,-177.824155193993,1987,1986,8348
"361",6967,17.9,1,1,0,5.38777638715061,-177.824155193993,1987,1986,6967
"381",5625,21,1,1,0,5.38777638715061,-177.824155193993,1987,1986,5625
"382",4564,17.4,1,1,0,5.38777638715061,-177.824155193993,1987,1986,4564
"383",8323,22.2,1,1,0,5.38777638715061,-177.824155193993,1987,1986,8323
"415",6548,20,1,1,0,5.38777638715061,-177.824155193993,1987,1986,6548
"416",4164,26.5,1,2,1,5.38777638715061,-177.824155193993,1987,1986,4164
"417",4017,24,1,2,0,5.38777638715061,-177.824155193993,1987,1986,4017
"418",14088,29.3,1,2,0,5.38777638715061,-177.824155193993,1987,1986,14088
"419",3332,26,1,2,0,5.38777638715061,-177.824155193993,1987,1986,3332
"420",12579,29,1,2,0,5.38777638715061,-177.824155193993,1987,1986,12579
"421",7470,28,1,2,0,5.38777638715061,-177.824155193993,1987,1986,7470
"422",10877,21.4,1,1,0,5.38777638715061,-177.824155193993,1987,1986,10877
"423",7943,23,1,2,0,5.38777638715061,-177.824155193993,1987,1986,7943
"424",1318,20.5,1,2,0,5.38777638715061,-177.824155193993,1987,1986,1318
"425",4317,15,1,1,0,5.38777638715061,-177.824155193993,1987,1986,4317
"450",4954,20.5,1,1,0,5.38777638715061,-177.824155193993,1987,1986,4954
"451",9599,10.5,1,1,0,5.38777638715061,-177.824155193993,1987,1986,9599
"463",13190,23.4,2,1,0,5.38777638715061,-177.824155193993,1987,1985,13190
"470",8410,26,1,2,0,5.38777638715061,-177.824155193993,1987,1986,8410
"471",11505,21.5,1,2,0,5.38777638715061,-177.824155193993,1987,1986,11505
"480",771,22,1,1,0,5.38777638715061,-177.824155193993,1987,1986,771
"485",835,18,1,1,0,6.38777638715061,-177.824155193993,1987,1986,835
"503",12736,20,1,1,0,6.38777638715061,-177.824155193993,1987,1986,12736
"504",6175,19.5,1,1,0,6.38777638715061,-177.824155193993,1987,1986,6175
"505",9581,24,1,2,0,6.38777638715061,-177.824155193993,1987,1986,9581
"506",13929,28,1,2,0,6.38777638715061,-177.824155193993,1987,1986,13929
"517",11784,24,1,2,0,6.38777638715061,-177.824155193993,1987,1986,11784
"526",12613,25.5,1,2,0,6.38777638715061,-177.824155193993,1987,1986,12613
"538",3324,21.3,1,1,0,9.38777638715061,-177.824155193993,1987,1986,3324
"623",9731,20,1,1,0,6.38777638715061,-51.8241551939925,1988,1987,9731
"625",3245,24.7,1,1,0,9.38777638715061,-51.8241551939925,1988,1987,3245
"633",3007,19.3,2,1,0,10.3877763871506,-51.8241551939925,1988,1986,3007
"636",6967,18,2,1,0,10.3877763871506,-51.8241551939925,1988,1986,6967
"637",4782,28.1,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,4782
"643",5625,18.5,2,1,0,10.3877763871506,-51.8241551939925,1988,1986,5625
"644",8323,24.7,2,1,0,10.3877763871506,-51.8241551939925,1988,1986,8323
"646",3483,17,1,1,0,10.3877763871506,-51.8241551939925,1988,1987,3483
"647",9166,19.2,1,1,0,10.3877763871506,-51.8241551939925,1988,1987,9166
"648",6841,19,1,1,0,10.3877763871506,-51.8241551939925,1988,1987,6841
"649",9847,15.8,1,1,1,10.3877763871506,-51.8241551939925,1988,1987,9847
"658",4164,29.6,2,2,1,10.3877763871506,-51.8241551939925,1988,1986,4164
"659",4017,24.2,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,4017
"660",14088,33,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,14088
"661",3332,27.2,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,3332
"663",7470,30.4,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,7470
"664",10920,19.5,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,10920
"665",10427,24.5,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,10427
"667",9404,17.2,1,1,0,10.3877763871506,-51.8241551939925,1988,1987,9404
"668",1492,26.6,1,2,1,10.3877763871506,-51.8241551939925,1988,1987,1492
"669",2955,22.4,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,2955
"670",1641,22,1,2,1,10.3877763871506,-51.8241551939925,1988,1987,1641
"671",10476,26.4,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,10476
"672",11996,25.2,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,11996
"673",10379,30.8,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,10379
"681",2168,22.7,1,1,0,10.3877763871506,-51.8241551939925,1988,1987,2168
"684",11505,24.8,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,11505
"685",5617,17,1,1,1,10.3877763871506,-51.8241551939925,1988,1987,5617
"689",13190,23.2,3,1,0,10.3877763871506,-51.8241551939925,1988,1985,13190
"692",8410,30.8,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,8410
"693",12322,27.4,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,12322
"694",6999,24.6,1,2,0,10.3877763871506,-51.8241551939925,1988,1987,6999
"695",6619,28,1,2,1,10.3877763871506,-51.8241551939925,1988,1987,6619
"696",7187,29,1,2,1,10.3877763871506,-51.8241551939925,1988,1987,7187
"701",6481,26.7,2,2,0,10.3877763871506,-51.8241551939925,1988,1986,6481
"710",8348,17.4,2,1,0,12.3877763871506,-51.8241551939925,1988,1986,8348
"714",9806,21.5,1,1,0,12.3877763871506,-51.8241551939925,1988,1987,9806
"723",13300,20.3,2,1,0,12.3877763871506,-51.8241551939925,1988,1986,13300
"724",4317,15.8,2,1,0,12.3877763871506,-51.8241551939925,1988,1986,4317
"725",3466,26.4,1,2,1,12.3877763871506,-51.8241551939925,1988,1987,3466
"726",3199,21,1,1,0,12.3877763871506,-51.8241551939925,1988,1987,3199
"727",8328,19.8,1,1,0,12.3877763871506,-51.8241551939925,1988,1987,8328
"728",14298,27.6,1,2,0,12.3877763871506,-51.8241551939925,1988,1987,14298
"729",4356,28.8,1,2,0,12.3877763871506,-51.8241551939925,1988,1987,4356
"740",4954,22.8,2,1,0,12.3877763871506,-51.8241551939925,1988,1986,4954
"741",2019,17.4,1,1,0,12.3877763871506,-51.8241551939925,1988,1987,2019
"742",3065,17,1,1,0,12.3877763871506,-51.8241551939925,1988,1987,3065
"743",3641,20.8,1,2,0,12.3877763871506,-51.8241551939925,1988,1987,3641
"749",9384,19.8,1,1,1,15.3877763871506,-51.8241551939925,1988,1987,9384
"760",2768,35.5,2,2,0,16.3877763871506,-51.8241551939925,1988,1986,2768
"761",12313,29.6,1,2,0,16.3877763871506,-51.8241551939925,1988,1987,12313
"762",12241,35,1,2,0,16.3877763871506,-51.8241551939925,1988,1987,12241
"763",3999,28.2,1,2,1,16.3877763871506,-51.8241551939925,1988,1987,3999
"764",6994,27.1,1,2,0,16.3877763871506,-51.8241551939925,1988,1987,6994
"765",771,26.3,2,1,0,16.3877763871506,-51.8241551939925,1988,1986,771
"766",2528,25.3,1,1,0,17.3877763871506,-51.8241551939925,1988,1987,2528
"767",12579,29.9,2,2,0,17.3877763871506,-51.8241551939925,1988,1986,12579
"768",7943,29.8,2,2,0,17.3877763871506,-51.8241551939925,1988,1986,7943
"769",6893,18.3,1,1,0,17.3877763871506,-51.8241551939925,1988,1987,6893
"771",10049,21.6,1,1,0,17.3877763871506,-51.8241551939925,1988,1987,10049
"774",11784,30.5,2,2,0,17.3877763871506,-51.8241551939925,1988,1986,11784
"1013",9861,17.8,2,2,1,-0.612223612849391,-297.824155193993,1989,1987,9861
"1016",3483,23.4,2,1,0,-0.612223612849391,-297.824155193993,1989,1987,3483
"1019",955,20,2,2,0,-0.612223612849391,-297.824155193993,1989,1987,955
"1021",3773,20.7,1,1,1,-0.612223612849391,-297.824155193993,1989,1988,3773
"1022",6999,20,2,2,0,-0.612223612849391,-297.824155193993,1989,1987,6999
"1028",4564,17.1,3,1,0,1.38777638715061,-297.824155193993,1989,1986,4564
"1032",8328,24.4,2,1,0,1.38777638715061,-297.824155193993,1989,1987,8328
"1036",6061,24.6,2,1,0,3.38777638715061,-297.824155193993,1989,1987,6061
"1038",9806,18.2,2,1,0,5.38777638715061,-297.824155193993,1989,1987,9806
"1041",2132,20.2,1,1,0,5.38777638715061,-297.824155193993,1989,1988,2132
"1045",9166,24.4,2,1,0,6.38777638715061,-297.824155193993,1989,1987,9166
"1046",8610,23.2,2,1,0,6.38777638715061,-297.824155193993,1989,1987,8610
"1096",6570,23.7,3,1,0,0.387776387150609,-218.824155193993,1990,1987,6570
"1097",5625,27.7,4,1,0,0.387776387150609,-218.824155193993,1990,1986,5625
"1098",207,22.7,1,1,0,0.387776387150609,-218.824155193993,1990,1989,207
"1099",8958,16.1,1,1,0,0.387776387150609,-218.824155193993,1990,1989,8958
"1100",11954,24.8,1,1,0,0.387776387150609,-218.824155193993,1990,1989,11954
"1101",4974,18.3,1,1,0,0.387776387150609,-218.824155193993,1990,1989,4974
