"","ID","HornLen","CapAgeYears","Sex","Twin","jdateMC","PopDensMC","CapYear","BirthYear","animal"
"416",4164,300,1,2,1,5.30257936507937,-191.364087301587,1987,1986,4164
"418",14088,370,1,2,0,5.30257936507937,-191.364087301587,1987,1986,14088
"419",3332,365,1,2,0,5.30257936507937,-191.364087301587,1987,1986,3332
"420",12579,330,1,2,0,5.30257936507937,-191.364087301587,1987,1986,12579
"421",7470,312,1,2,0,5.30257936507937,-191.364087301587,1987,1986,7470
"423",7943,285,1,2,0,5.30257936507937,-191.364087301587,1987,1986,7943
"424",1318,296,1,2,0,5.30257936507937,-191.364087301587,1987,1986,1318
"470",8410,355,1,2,0,5.30257936507937,-191.364087301587,1987,1986,8410
"505",9581,365,1,2,0,6.30257936507937,-191.364087301587,1987,1986,9581
"517",11784,305,1,2,0,6.30257936507937,-191.364087301587,1987,1986,11784
"658",4164,370,2,2,1,10.3025793650794,-65.3640873015873,1988,1986,4164
"659",4017,320,2,2,0,10.3025793650794,-65.3640873015873,1988,1986,4017
"660",14088,425,2,2,0,10.3025793650794,-65.3640873015873,1988,1986,14088
"661",3332,440,2,2,0,10.3025793650794,-65.3640873015873,1988,1986,3332
"663",7470,410,2,2,0,10.3025793650794,-65.3640873015873,1988,1986,7470
"664",10920,234,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,10920
"665",10427,285,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,10427
"666",4514,313,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,4514
"668",1492,340,1,2,1,10.3025793650794,-65.3640873015873,1988,1987,1492
"669",2955,265,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,2955
"670",1641,250,1,2,1,10.3025793650794,-65.3640873015873,1988,1987,1641
"671",10476,325,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,10476
"672",11996,325,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,11996
"673",10379,345,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,10379
"692",8410,425,2,2,0,10.3025793650794,-65.3640873015873,1988,1986,8410
"693",12322,332,1,2,0,10.3025793650794,-65.3640873015873,1988,1987,12322
"695",6619,366,1,2,1,10.3025793650794,-65.3640873015873,1988,1987,6619
"696",7187,338,1,2,1,10.3025793650794,-65.3640873015873,1988,1987,7187
"701",6481,356,2,2,0,10.3025793650794,-65.3640873015873,1988,1986,6481
"725",3466,324,1,2,1,12.3025793650794,-65.3640873015873,1988,1987,3466
"728",14298,300,1,2,0,12.3025793650794,-65.3640873015873,1988,1987,14298
"729",4356,355,1,2,0,12.3025793650794,-65.3640873015873,1988,1987,4356
"743",3641,180,1,2,0,12.3025793650794,-65.3640873015873,1988,1987,3641
"760",2768,324,2,2,0,16.3025793650794,-65.3640873015873,1988,1986,2768
"761",12313,249,1,2,0,16.3025793650794,-65.3640873015873,1988,1987,12313
"762",12241,334,1,2,0,16.3025793650794,-65.3640873015873,1988,1987,12241
"763",3999,324,1,2,1,16.3025793650794,-65.3640873015873,1988,1987,3999
"764",6994,308,1,2,0,16.3025793650794,-65.3640873015873,1988,1987,6994
"767",12579,420,2,2,0,17.3025793650794,-65.3640873015873,1988,1986,12579
"768",7943,359,2,2,0,17.3025793650794,-65.3640873015873,1988,1986,7943
"770",7071,298,1,2,0,17.3025793650794,-65.3640873015873,1988,1987,7071
"774",11784,383,2,2,0,17.3025793650794,-65.3640873015873,1988,1986,11784
"1019",955,455,2,2,0,-0.697420634920633,-311.364087301587,1989,1987,955
"1125",12175,362,1,2,0,0.302579365079367,-232.364087301587,1990,1989,12175
"1128",2803,290,1,2,1,0.302579365079367,-232.364087301587,1990,1989,2803
"1129",14112,320,1,2,0,0.302579365079367,-232.364087301587,1990,1989,14112
"1130",11590,369,1,2,0,0.302579365079367,-232.364087301587,1990,1989,11590
"1146",3610,310,1,2,0,0.302579365079367,-232.364087301587,1990,1989,3610
"1158",11979,395,2,2,0,0.302579365079367,-232.364087301587,1990,1988,11979
"1159",7267,340,1,2,0,0.302579365079367,-232.364087301587,1990,1989,7267
"1161",10095,352,1,2,0,0.302579365079367,-232.364087301587,1990,1989,10095
"1210",5562,344,1,2,0,3.30257936507937,-232.364087301587,1990,1989,5562
"1213",197,375,1,2,0,8.30257936507937,-232.364087301587,1990,1989,197
"1308",8195,313,1,2,0,1.30257936507937,-108.364087301587,1991,1990,8195
"1310",7159,400,1,2,0,1.30257936507937,-108.364087301587,1991,1990,7159
"1311",5344,318,1,2,0,1.30257936507937,-108.364087301587,1991,1990,5344
"1312",2725,385,1,2,0,1.30257936507937,-108.364087301587,1991,1990,2725
"1313",7303,331,1,2,1,1.30257936507937,-108.364087301587,1991,1990,7303
"1315",12175,471,2,2,0,1.30257936507937,-108.364087301587,1991,1989,12175
"1316",2803,360,2,2,1,1.30257936507937,-108.364087301587,1991,1989,2803
"1317",11590,470,2,2,0,1.30257936507937,-108.364087301587,1991,1989,11590
"1328",3610,392,2,2,0,1.30257936507937,-108.364087301587,1991,1989,3610
"1339",13051,128,1,2,1,1.30257936507937,-108.364087301587,1991,1990,13051
"1341",7267,445,2,2,0,1.30257936507937,-108.364087301587,1991,1989,7267
"1342",10095,425,2,2,0,1.30257936507937,-108.364087301587,1991,1989,10095
"1405",8553,205,1,2,1,2.30257936507937,-108.364087301587,1991,1990,8553
"1406",2380,174,1,2,1,2.30257936507937,-108.364087301587,1991,1990,2380
"1407",6712,312,1,2,0,2.30257936507937,-108.364087301587,1991,1990,6712
