"","ID","BolCirc","CapAgeYears","Sex","Twin","jdateMC","PopDensMC","CapYear","BirthYear","animal"
"416",4164,260,1,2,1,5.58773784355179,-209.045454545455,1987,1986,4164
"417",4017,300,1,2,0,5.58773784355179,-209.045454545455,1987,1986,4017
"418",14088,300,1,2,0,5.58773784355179,-209.045454545455,1987,1986,14088
"419",3332,305,1,2,0,5.58773784355179,-209.045454545455,1987,1986,3332
"420",12579,230,1,2,0,5.58773784355179,-209.045454545455,1987,1986,12579
"421",7470,285,1,2,0,5.58773784355179,-209.045454545455,1987,1986,7470
"423",7943,245,1,2,0,5.58773784355179,-209.045454545455,1987,1986,7943
"424",1318,270,1,2,0,5.58773784355179,-209.045454545455,1987,1986,1318
"470",8410,288,1,2,0,5.58773784355179,-209.045454545455,1987,1986,8410
"471",11505,220,1,2,0,5.58773784355179,-209.045454545455,1987,1986,11505
"505",9581,280,1,2,0,6.58773784355179,-209.045454545455,1987,1986,9581
"506",13929,290,1,2,0,6.58773784355179,-209.045454545455,1987,1986,13929
"517",11784,265,1,2,0,6.58773784355179,-209.045454545455,1987,1986,11784
"526",12613,293,1,2,0,6.58773784355179,-209.045454545455,1987,1986,12613
"637",4782,255,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,4782
"658",4164,275,2,2,1,10.5877378435518,-83.0454545454545,1988,1986,4164
"659",4017,293,2,2,0,10.5877378435518,-83.0454545454545,1988,1986,4017
"660",14088,285,2,2,0,10.5877378435518,-83.0454545454545,1988,1986,14088
"663",7470,265,2,2,0,10.5877378435518,-83.0454545454545,1988,1986,7470
"664",10920,250,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,10920
"665",10427,240,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,10427
"666",4514,235,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,4514
"668",1492,230,1,2,1,10.5877378435518,-83.0454545454545,1988,1987,1492
"669",2955,259,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,2955
"670",1641,245,1,2,1,10.5877378435518,-83.0454545454545,1988,1987,1641
"671",10476,250,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,10476
"672",11996,263,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,11996
"673",10379,255,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,10379
"684",11505,260,2,2,0,10.5877378435518,-83.0454545454545,1988,1986,11505
"692",8410,295,2,2,0,10.5877378435518,-83.0454545454545,1988,1986,8410
"693",12322,245,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,12322
"694",6999,260,1,2,0,10.5877378435518,-83.0454545454545,1988,1987,6999
"695",6619,252,1,2,1,10.5877378435518,-83.0454545454545,1988,1987,6619
"696",7187,287,1,2,1,10.5877378435518,-83.0454545454545,1988,1987,7187
"701",6481,275,2,2,0,10.5877378435518,-83.0454545454545,1988,1986,6481
"725",3466,288,1,2,1,12.5877378435518,-83.0454545454545,1988,1987,3466
"728",14298,280,1,2,0,12.5877378435518,-83.0454545454545,1988,1987,14298
"729",4356,260,1,2,0,12.5877378435518,-83.0454545454545,1988,1987,4356
"743",3641,285,1,2,0,12.5877378435518,-83.0454545454545,1988,1987,3641
"760",2768,280,2,2,0,16.5877378435518,-83.0454545454545,1988,1986,2768
"761",12313,255,1,2,0,16.5877378435518,-83.0454545454545,1988,1987,12313
"762",12241,290,1,2,0,16.5877378435518,-83.0454545454545,1988,1987,12241
"763",3999,258,1,2,1,16.5877378435518,-83.0454545454545,1988,1987,3999
"764",6994,255,1,2,0,16.5877378435518,-83.0454545454545,1988,1987,6994
"767",12579,270,2,2,0,17.5877378435518,-83.0454545454545,1988,1986,12579
"768",7943,255,2,2,0,17.5877378435518,-83.0454545454545,1988,1986,7943
"770",7071,265,1,2,0,17.5877378435518,-83.0454545454545,1988,1987,7071
"774",11784,280,2,2,0,17.5877378435518,-83.0454545454545,1988,1986,11784
"1731",5102,220,1,2,0,-0.412262156448207,-219.045454545455,1992,1991,5102
"1733",11579,225,1,2,0,-0.412262156448207,-219.045454545455,1992,1991,11579
"1734",6108,235,1,2,0,-0.412262156448207,-219.045454545455,1992,1991,6108
"1787",9509,195,1,2,0,1.58773784355179,-219.045454545455,1992,1991,9509
