"","animal","dam","sire"
"1",11223,NA,NA
"2",1861,NA,NA
"3",6262,NA,NA
"4",9456,NA,NA
"5",3709,NA,NA
"6",6271,NA,NA
"7",1447,NA,NA
"8",14203,NA,NA
"9",13223,NA,NA
"10",5159,NA,NA
"11",3279,NA,NA
"12",1568,NA,NA
"13",5888,NA,NA
"14",9028,NA,NA
"15",7857,NA,NA
"16",7504,NA,NA
"17",12218,NA,NA
"18",806,NA,NA
"19",4845,NA,NA
"20",12521,NA,NA
"21",7786,NA,NA
"22",10857,NA,NA
"23",8960,NA,NA
"24",3201,NA,NA
"25",10102,NA,NA
"26",11420,NA,NA
"27",2579,NA,NA
"28",13028,NA,NA
"29",6470,NA,NA
"30",5866,NA,NA
"31",8039,NA,NA
"32",10446,NA,NA
"33",11480,NA,NA
"34",7329,NA,NA
"35",10840,NA,NA
"36",7665,NA,NA
"37",8781,NA,NA
"38",10121,NA,NA
"39",5916,NA,NA
"40",6098,NA,NA
"41",446,NA,NA
"42",4503,NA,NA
"43",12104,NA,NA
"44",219,NA,NA
"45",4222,NA,NA
"46",13837,NA,NA
"47",5524,NA,NA
"48",10300,NA,NA
"49",6353,NA,NA
"50",4072,NA,NA
"51",7580,NA,NA
"52",13838,NA,NA
"53",10941,NA,NA
"54",13883,NA,NA
"55",10340,NA,NA
"56",10705,NA,NA
"57",7104,NA,NA
"58",6620,NA,NA
"59",4412,NA,NA
"60",4343,NA,NA
"61",9732,NA,NA
"62",10225,NA,NA
"63",8626,NA,NA
"64",11837,NA,NA
"65",9484,NA,NA
"66",1067,NA,NA
"67",1426,NA,NA
"68",10407,NA,NA
"69",9463,NA,NA
"70",5277,NA,NA
"71",14142,NA,NA
"72",7616,NA,NA
"73",2018,NA,NA
"74",2982,NA,NA
"75",3484,NA,NA
"76",59,NA,NA
"77",12113,NA,NA
"78",9337,NA,NA
"79",2220,NA,NA
"80",11274,NA,NA
"81",7112,NA,NA
"82",1959,NA,NA
"83",1160,NA,NA
"84",2296,NA,NA
"85",13345,NA,NA
"86",6193,NA,NA
"87",2311,NA,NA
"88",5997,NA,NA
"89",7219,NA,NA
"90",7761,NA,NA
"91",10573,NA,NA
"92",7070,NA,NA
"93",7241,NA,NA
"94",11957,NA,NA
"95",8310,NA,NA
"96",12289,NA,NA
"97",2957,NA,NA
"98",7123,NA,NA
"99",5353,NA,NA
"100",7524,NA,NA
"101",6547,NA,NA
"102",1839,NA,NA
"103",9283,NA,NA
"104",14119,NA,NA
"105",7460,NA,NA
"106",10056,NA,NA
"107",12818,NA,NA
"108",11793,NA,NA
"109",6697,NA,NA
"110",2425,NA,NA
"111",8090,NA,NA
"112",12116,NA,NA
"113",674,NA,NA
"114",13113,NA,NA
"115",13216,NA,NA
"116",5264,NA,NA
"117",9130,NA,NA
"118",83,NA,NA
"119",572,NA,NA
"120",3471,NA,NA
"121",1457,NA,NA
"122",5,NA,NA
"123",11145,NA,NA
"124",6886,NA,NA
"125",14074,NA,NA
"126",10437,NA,NA
"127",7402,NA,NA
"128",13701,NA,NA
"129",9063,NA,NA
"130",13326,NA,NA
"131",9987,NA,NA
"132",4151,NA,NA
"133",1414,NA,NA
"134",13577,NA,NA
"135",3172,NA,NA
"136",5176,NA,NA
"137",14043,NA,NA
"138",2516,NA,NA
"139",378,NA,NA
"140",7305,NA,NA
"141",11548,NA,NA
"142",3512,NA,NA
"143",5753,NA,NA
"144",10632,NA,NA
"145",13426,NA,NA
"146",4678,NA,NA
"147",1251,NA,NA
"148",10689,NA,NA
"149",3987,NA,NA
"150",1471,NA,NA
"151",11042,NA,NA
"152",11292,NA,NA
"153",9140,NA,NA
"154",11918,NA,NA
"155",9308,NA,NA
"156",13570,NA,NA
"157",12516,NA,NA
"158",8879,NA,NA
"159",11753,NA,NA
"160",7278,NA,NA
"161",13875,NA,NA
"162",10387,NA,NA
"163",13450,NA,NA
"164",13002,NA,NA
"165",6696,NA,NA
"166",9066,NA,NA
"167",13676,NA,NA
"168",12528,NA,NA
"169",1687,NA,NA
"170",2159,NA,NA
"171",12831,NA,NA
"172",6134,NA,NA
"173",7622,NA,NA
"174",12973,NA,NA
"175",6595,NA,NA
"176",2260,NA,NA
"177",1184,NA,NA
"178",2026,NA,NA
"179",10676,NA,NA
"180",1961,NA,NA
"181",4733,NA,NA
"182",780,NA,NA
"183",137,NA,NA
"184",14002,NA,NA
"185",695,NA,NA
"186",10257,NA,NA
"187",12475,NA,NA
"188",11083,NA,NA
"189",5734,NA,NA
"190",11700,NA,NA
"191",13855,NA,NA
"192",4403,NA,NA
"193",8931,NA,NA
"194",13604,NA,NA
"195",12076,NA,NA
"196",2573,NA,NA
"197",9971,NA,NA
"198",2324,NA,NA
"199",12009,NA,NA
"200",9169,NA,NA
"201",13511,NA,NA
"202",2279,NA,NA
"203",14122,NA,NA
"204",2652,NA,NA
"205",6110,NA,NA
"206",12611,NA,NA
"207",10252,NA,NA
"208",2334,NA,NA
"209",1749,NA,NA
"210",7526,NA,NA
"211",10283,NA,NA
"212",13687,NA,NA
"213",4962,NA,NA
"214",9246,NA,NA
"215",12122,NA,NA
"216",11855,NA,NA
"217",11072,NA,NA
"218",11609,NA,NA
"219",14111,NA,NA
"220",11899,NA,NA
"221",325,NA,NA
"222",13297,NA,NA
"223",3607,NA,NA
"224",7150,NA,NA
"225",6679,NA,NA
"226",3357,NA,NA
"227",10598,NA,NA
"228",6443,NA,NA
"229",6012,NA,NA
"230",1121,NA,NA
"231",12454,NA,NA
"232",8724,NA,NA
"233",5072,NA,NA
"234",9948,NA,NA
"235",7675,NA,NA
"236",3336,NA,NA
"237",14143,NA,NA
"238",10284,NA,NA
"239",9867,NA,NA
"240",6513,NA,NA
"241",11455,NA,NA
"242",11212,NA,NA
"243",10426,NA,NA
"244",12174,NA,NA
"245",1768,NA,NA
"246",13980,NA,NA
"247",5475,NA,NA
"248",6975,NA,NA
"249",6761,NA,NA
"250",9427,NA,NA
"251",6434,NA,NA
"252",14147,NA,NA
"253",7461,NA,NA
"254",5577,NA,NA
"255",8084,NA,NA
"256",12920,NA,NA
"257",12496,NA,NA
"258",4598,NA,NA
"259",445,NA,NA
"260",9729,NA,NA
"261",7028,NA,NA
"262",5856,NA,NA
"263",10639,NA,NA
"264",11465,NA,NA
"265",10517,NA,NA
"266",12797,NA,NA
"267",10788,NA,NA
"268",7351,NA,NA
"269",7229,NA,NA
"270",13085,NA,NA
"271",9533,NA,NA
"272",7607,NA,NA
"273",4139,NA,NA
"274",2090,NA,NA
"275",14259,NA,NA
"276",12415,NA,NA
"277",5061,NA,NA
"278",8267,NA,NA
"279",254,NA,NA
"280",8828,NA,NA
"281",3112,NA,NA
"282",4639,NA,NA
"283",5165,NA,NA
"284",13310,NA,NA
"285",11041,NA,NA
"286",9076,NA,NA
"287",8489,NA,NA
"288",4660,NA,NA
"289",7556,NA,NA
"290",14238,NA,NA
"291",1187,NA,NA
"292",2551,NA,NA
"293",2496,NA,NA
"294",11607,NA,NA
"295",2177,NA,NA
"296",1267,NA,NA
"297",4616,NA,NA
"298",986,NA,NA
"299",3942,NA,NA
"300",2422,NA,NA
"301",7723,NA,NA
"302",12091,NA,NA
"303",13016,NA,NA
"304",10496,NA,NA
"305",2440,NA,NA
"306",7041,NA,NA
"307",1142,NA,NA
"308",14041,NA,NA
"309",5370,NA,NA
"310",1352,NA,NA
"311",12892,NA,NA
"312",440,NA,NA
"313",10381,NA,NA
"314",6254,NA,NA
"315",13213,NA,NA
"316",9480,NA,NA
"317",11254,NA,NA
"318",11558,NA,NA
"319",5603,NA,NA
"320",1798,NA,NA
"321",7565,NA,NA
"322",14249,NA,NA
"323",1225,NA,NA
"324",5331,NA,NA
"325",2011,NA,NA
"326",6186,NA,NA
"327",5607,NA,NA
"328",8294,NA,NA
"329",13989,NA,NA
"330",89,NA,NA
"331",503,NA,NA
"332",7237,NA,NA
"333",7912,NA,NA
"334",7115,NA,NA
"335",4782,NA,NA
"336",12265,NA,NA
"337",13115,NA,NA
"338",9602,NA,NA
"339",11055,NA,NA
"340",6059,NA,NA
"341",11685,NA,NA
"342",13821,NA,NA
"343",514,NA,NA
"344",11094,NA,NA
"345",4780,NA,NA
"346",7364,NA,NA
"347",13075,NA,NA
"348",9460,NA,NA
"349",12341,NA,NA
"350",9927,NA,NA
"351",11043,NA,NA
"352",7755,NA,NA
"353",7999,NA,NA
"354",2531,NA,NA
"355",2439,NA,NA
"356",1661,NA,NA
"357",13001,NA,NA
"358",4643,NA,NA
"359",7474,NA,NA
"360",9911,NA,NA
"361",11295,NA,NA
"362",13956,NA,NA
"363",12598,NA,NA
"364",7207,NA,NA
"365",7816,NA,NA
"366",12258,NA,NA
"367",8673,NA,NA
"368",5527,NA,NA
"369",8782,NA,NA
"370",13357,NA,NA
"371",5147,NA,NA
"372",8814,NA,NA
"373",6289,NA,NA
"374",10156,NA,NA
"375",12549,NA,NA
"376",606,NA,NA
"377",7670,NA,NA
"378",952,NA,NA
"379",12881,NA,NA
"380",10591,NA,NA
"381",5835,NA,NA
"382",495,NA,NA
"383",9206,NA,NA
"384",10926,NA,NA
"385",12024,NA,NA
"386",13858,NA,NA
"387",10292,NA,NA
"388",1070,NA,NA
"389",10131,NA,NA
"390",3088,NA,NA
"391",12157,NA,NA
"392",13796,NA,NA
"393",13050,NA,NA
"394",13176,NA,NA
"395",4984,NA,NA
"396",5629,NA,NA
"397",732,NA,NA
"398",13183,NA,NA
"399",1838,NA,NA
"400",5584,NA,NA
"401",8185,NA,NA
"402",8115,NA,NA
"403",6276,NA,NA
"404",14234,NA,NA
"405",10415,NA,NA
"406",7516,NA,NA
"407",12524,NA,NA
"408",8600,NA,NA
"409",4527,NA,NA
